team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	7	Bernie James	D	52	3	9	12	England/USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	8	Joe Koziol	M	20	3	3	6	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	9	Ali Kazemaini	F	38	2	8	10	Iran
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	11	Theo Kulsdom	D	46	5	14	19	Holland
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	18	8	16	24	Finland
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	13	Michael King	M	50	46	17	63	England
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	 	 	 	 	England
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	16	Zoran Karic	F	47	73	48	121	Yugoslavia
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	17	Chris Szanto	D	16	2	0	2	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	17	Dev Reeves	D	 	 	 	 	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	21	Hector Marinaro	F	45	63	44	107	Canada
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	22	Andy Schmetzer	F	48	28	17	45	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	23	Simon Keith	F	27	4	4	8	England/Canada
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	23	Rudy Pikuzinski	F	37	15	14	29	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	24	P.J. Johns	G	38	0	7	7	USA
Cleveland Crunch	1990-1991	Major Indoor Soccer League (1978-1992)	26	David Hoggan	M/F	44	20	35	55	Scotland
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	0	Otto Orf	G	12	0	1	1	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	2	Chico Moreira	D	32	6	9	15	Uruguay
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	3	Gregg Willin	D	40	12	10	22	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	4	Marco Rizi	D	26	2	1	3	Canada
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	5	George Fernandez	D	40	7	6	13	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	7	Bernie James	D	 	 	 	 	England/USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	8	Tom Tanner	M	29	8	10	18	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	10	Viatcheslav Lendel	F	3	0	0	0	Ukraine
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	11	Theo Kulsdom	D	5	2	3	5	Holland
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	27	9	11	20	Finland
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	13	Michael King	M	38	21	18	39	England
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	16	Zoran Karic	F	37	39	63	102	Yugoslavia
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	17	Chris Szanto	D	38	5	8	13	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	20	Gino DiFlorio	F	28	15	6	21	Italy/Canada
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	21	Hector Marinaro	F	40	53	41	94	Canada
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	22	Andy Schmetzer	F	36	15	15	30	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	23	Rudy Pikuzinski	F	30	24	9	33	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	24	P.J. Johns	G	29	0	3	3	USA
Cleveland Crunch	1991-1992	Major Indoor Soccer League (1978-1992)	26	David Hoggan	M/F	40	31	11	42	Scotland
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	4	Gary Heale	F	44	13	16	29	England
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	5	Michael Collins	M	39	17	6 	23	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	6	Claudio DeOliveira	M	52	27	23	50	Brazil
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	7	Daryl Doran	M	52	8	23	31	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	8	Godfrey Ingram	M	45	26	18	44	England
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	10	Mark Frederickson	D	43	3	6	9	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	11	Daniel Donigan	F	34	3	2	5	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	12	Terry Brown	F	44	5	3	8	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	13	Stan Terlecki	F	39	24	11	35	Poland
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	15	Marcio Leite	F	35	14	7	21	Brazil
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	16	Emil Dragicevic	D	46	12	7	19	Yugoslavia
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	17	Gus Mokalis	D	30	2	7	9	Hungary/Greece
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	18	David Eise	D	36	4	5	9	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	20	Thompson Usiyan	M	46	27	25	52	Nigeria
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	21	Fernando Clavijo	D	52	17	18	35	Uruguay
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	30	Slobo Ilijevski	G	32	 	 	 	Yugoslavia
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	31	David Brcic	G	 	 	 	 	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	 	Zoran Bojovic	F/M	5	0	0	0	Yugoslavia
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	 	John Klein	M	4	0	0	0	USA
St. Louis Storm	1989-1990	Major Indoor Soccer League (1978-1992)	 	Diego Mandagaran	M	19	0	1	1	Uruguay
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	1	Toltan Toth	G	36	0	4	4	Hungary/USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	4	Greg Muhr	D	41	4	6	10	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	5	Daniel Donigan	F	44	24	19	43	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	6	Claudio DeOliveira	M	30	21	25	46	Brazil
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	7	Daryl Doran	M	52	17	32	49	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	8	Godfrey Ingram	M	50	39	17	56	England
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	9	Brian Schmetzer	D	48	9	14	23	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	10	Mark Frederickson	D	52	6	8	14	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	11	Preki	F	52	68	53	121	Yugoslavia
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	12	Terry Brown	F	51	19	10	29	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	13	Bobo Lucic	M	12	3	2	5	Yugoslavia
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	14	Mark Moser	F	20	2	2	4	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	15	Marcio Leite	F	31	8	9	17	Brazil
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	16	Emil Dragicevic	M	41	14	14	28	Yugoslavia
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	17	Mike Fox	M	18	4	1	5	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	18	David Eise	D	34	3	4	7	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	20	Thompson Usiyan	M	51	64	38	102	Nigeria
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	21	Fernando Clavijo	D	47	15	23	38	Uruguay/USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	30	Slobo Ilijevski	G	19	0	1	1	Yugoslavia/USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	31	David Brcic	G	 	 	 	 	USA
St. Louis Storm	1990-1991	Major Indoor Soccer League (1978-1992)	 	Gino DiFlorio	F	 	 	 	 	Italy/Canada
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	1	Toltan Toth	G	2	0	0	0	Hungary/USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	4	Greg Muhr	D	39	9	7	16	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	5	John Klein	F	31	6	5	11	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	6	Claudio DeOliveira	M	9	2	0	2	Brazil
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	7	Daryl Doran	M	40	25	15	40	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	8	Mark Santel	M	38	6	5	11	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	8	Godfrey Ingram	M	16	3	5	8	England
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	9	Kevin Hundelt	D	38	10	15	25	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	10	Mark Frederickson	D	35	7	10	17	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	11	Preki	F	39	45	52	97	Yugoslavia
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	12	Terry Brown	F	37	12	11	23	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	14	Ted Eck	F	37	31	13	44	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	17	Mirko Castillo	F	 	 	 	 	Peru
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	20	Branko Segota	M	34	47	25	72	Yugoslavia/Canada
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	21	Fernando Clavijo	D	37	9	19	28	Uruguay/USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	22	George Pastor	M	39	21	17	38	Peru/USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	30	Slobo Ilijevski	G	8	0	0	0	Yugoslavia/USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	 	Scott Biason	 	2	0	0	0	 
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	 	Jim Gorsek	G	30	0	5	5	USA
St. Louis Storm	1991-1992	Major Indoor Soccer League (1978-1992)	 	Waad Hirmez	 	24	6	5	11	Iraq
Atlanta Apollos	1973	North American Soccer League	1	Manfred Kammerer	G	3	0	0	0	Germany
Atlanta Apollos	1973	North American Soccer League	2	Alan Hamlyn	D	10	0	0	0	England/USA
Atlanta Apollos	1973	North American Soccer League	3	John Cocking	D	16	2	0	4	England
Atlanta Apollos	1973	North American Soccer League	4	Mick Hoban	D	19	3	3	9	England
Atlanta Apollos	1973	North American Soccer League	5	Ken Bracewell	D	12	0	0	0	England
Atlanta Apollos	1973	North American Soccer League	6	Uriel da Veiga	D	15	1	0	2	Brazil
Atlanta Apollos	1973	North American Soccer League	7	Art Welch	F	7	2	1	5	Jamaica
Atlanta Apollos	1973	North American Soccer League	8	Freddie Mwila	F	19	3	1	7	Zambia
Atlanta Apollos	1973	North American Soccer League	9	Nick Papadakis	F	3	0	0	0	Greece/Canada
Atlanta Apollos	1973	North American Soccer League	10	Paul Child	F	16	8	1	17	England
Atlanta Apollos	1973	North American Soccer League	11	Dave Metchick	M	18	2	3	7	England
Atlanta Apollos	1973	North American Soccer League	12	John Forrest	G	17	0	0	0	England
Atlanta Apollos	1973	North American Soccer League	14	Alec Papadakis	M	12	0	0	0	Greece/Canada
Atlanta Apollos	1973	North American Soccer League	15	Steve Twellman	D	14	0	1	1	USA
Atlanta Apollos	1973	North American Soccer League	16	Danny Paton	M	5	0	0	0	Scotland
Atlanta Apollos	1973	North American Soccer League	17	Jeff Solem	D	10	0	0	0	USA
Atlanta Apollos	1973	North American Soccer League	19	Emment Kapengwe	F	13	0	2	2	Zamiba
Atlanta Apollos	1973	North American Soccer League	 	Gregory Fellows	F	8	1	2	4	England
Atlanta Apollos	1973	North American Soccer League	 	Kevin Howe	D	11	1	0	2	USA
Atlanta Apollos	1973	North American Soccer League	 	Wally Zaija	D	1	0	0	0	Austria/USA
Atlanta Chiefs	1967	National Professional Soccer League	1	Sven Lindberg	G	16	0	0	0	Sweden
Atlanta Chiefs	1967	National Professional Soccer League	2	Vic Rouse	G	14	0	0	0	Wales
Atlanta Chiefs	1967	National Professional Soccer League	3	John Cocking	D	4	0	0	0	England
Atlanta Chiefs	1967	National Professional Soccer League	4	Vic Crowe	M	29	1	1	3	Wales
Atlanta Chiefs	1967	National Professional Soccer League	5	Willie Evans	M	23	0	0	0	Ghana
Atlanta Chiefs	1967	National Professional Soccer League	6	Gordon Ferry	M	24	0	0	0	England
Atlanta Chiefs	1967	National Professional Soccer League	7	Brian Hughes	D	29	0	0	0	Wales
Atlanta Chiefs	1967	National Professional Soccer League	8	Howard Mwikuta	D	22	1	0	2	Zambia
Atlanta Chiefs	1967	National Professional Soccer League	9	Rudolph Pearce	D	11	0	0	0	Jamaica
Atlanta Chiefs	1967	National Professional Soccer League	10	Delroy Scott	M	21	0	0	0	Jamaica
Atlanta Chiefs	1967	National Professional Soccer League	11	Henry Largie	D	8	0	0	0	Jamaica
Atlanta Chiefs	1967	National Professional Soccer League	12	Ray Bloomfield	F	17	4	3	11	England
Atlanta Chiefs	1967	National Professional Soccer League	13	Ron Newman	F	10	3	3	9	England
Atlanta Chiefs	1967	National Professional Soccer League	14	Emment Kapengwe	F	11	5	5	15	Zambia
Atlanta Chiefs	1967	National Professional Soccer League	15	Peter McParland	F	25	7	5	19	N. Ireland
Atlanta Chiefs	1967	National Professional Soccer League	16	Freddie Mwila	F	10	4	0	8	Zambia
Atlanta Chiefs	1967	National Professional Soccer League	17	Phil Woosnam	F	9	8	7	23	Wales
Atlanta Chiefs	1967	National Professional Soccer League	18	Graham Newton	F	11	8	3	19	England
Atlanta Chiefs	1967	National Professional Soccer League	19	Howard Riley	F	5	2	0	4	Jamaica
Atlanta Chiefs	1967	National Professional Soccer League	20	Everald Cummings	F	5	1	0	2	Trinidad
Atlanta Chiefs	1967	National Professional Soccer League	 	Brian Bedford	F	4	4	2	10	Wales
Atlanta Chiefs	1968	North American Soccer League	1	Sven Lindberg	G	5	0	0	0	Sweden
Atlanta Chiefs	1968	North American Soccer League	2	Vic Rouse	G	26	0	0	0	Wales
Atlanta Chiefs	1968	North American Soccer League	3	John Cocking	D	29	0	1	1	England
Atlanta Chiefs	1968	North American Soccer League	4	Vic Crowe	M	22	1	1	3	Wales
Atlanta Chiefs	1968	North American Soccer League	5	Willie Evans	M	1	0	0	0	Ghana
Atlanta Chiefs	1968	North American Soccer League	6	Gordon Ferry	M	31	0	0	0	England
Atlanta Chiefs	1968	North American Soccer League	7	Brian Hughes	D	31	2	0	4	Wales
Atlanta Chiefs	1968	North American Soccer League	8	Bertrand Grell	M	0	0	0	0	Trinidad
Atlanta Chiefs	1968	North American Soccer League	9	Nick Papadakis	M	2	0	0	0	Greece/Canada
Atlanta Chiefs	1968	North American Soccer League	10	Delroy Scott	M	15	1	0	2	Jamaica
Atlanta Chiefs	1968	North American Soccer League	12	Ray Bloomfield	F	28	2	2	6	England
Atlanta Chiefs	1968	North American Soccer League	13	Ron Newman	F	8	1	0	2	England
Atlanta Chiefs	1968	North American Soccer League	14	Emment Kapengwe	F	28	3	3	9	Zambia
Atlanta Chiefs	1968	North American Soccer League	15	Peter McParland	F	29	7	3	17	N. Ireland
Atlanta Chiefs	1968	North American Soccer League	16	Freddie Mwila	F	30	6	3	15	Zambia
Atlanta Chiefs	1968	North American Soccer League	17	Phil Woosnam	F	12	1	2	4	Wales
Atlanta Chiefs	1968	North American Soccer League	18	Graham Newton	F	25	10	1	21	England
Atlanta Chiefs	1968	North American Soccer League	20	Everald Cummings	F	2	0	0	0	Trinidad
Atlanta Chiefs	1968	North American Soccer League	21	Harold Hansen	F	1	0	0	0	Canada
Atlanta Chiefs	1968	North American Soccer League	22	Willie McIntosh	F	31	4	4	12	Scotland
Atlanta Chiefs	1968	North American Soccer League	23	Allan Cole	F	1	0	1	1	Jamaica
Atlanta Chiefs	1968	North American Soccer League	24	Kaizer Motaung	F	24	11	3	25	South Africa
Atlanta Chiefs	1969	North American Soccer League	1	Manfred Kammerer	G	 	 	 	0	Germany
Atlanta Chiefs	1969	North American Soccer League	2	Vic Rouse	G	 	 	 	0	Wales
Atlanta Chiefs	1969	North American Soccer League	3	John Cocking	D	0	0	0	0	England
Atlanta Chiefs	1969	North American Soccer League	4	Vic Crowe	M	0	0	0	0	Wales
Atlanta Chiefs	1969	North American Soccer League	5	Ken Bracewell	M	 	 	 	0	England
Atlanta Chiefs	1969	North American Soccer League	6	Henry Largie	M	 	 	 	0	Jamaica
Atlanta Chiefs	1969	North American Soccer League	8	Michael Ash	F	0	0	0	0	England
Atlanta Chiefs	1969	North American Soccer League	9	Nick Papadakis	F	9	 	 	0	Greece/Canada
Atlanta Chiefs	1969	North American Soccer League	10	Delroy Scott	M	9	1	0	2	Jamaica
Atlanta Chiefs	1969	North American Soccer League	12	Ray Bloomfield	F	0	0	0	0	England
Atlanta Chiefs	1969	North American Soccer League	14	Emment Kapengwe	F	9	8	6	22	Zambia
Atlanta Chiefs	1969	North American Soccer League	16	Freddie Mwila	F	 	7	1	15	Zambia
Atlanta Chiefs	1969	North American Soccer League	18	Graham Newton	F	 	 	 	0	England
Atlanta Chiefs	1969	North American Soccer League	20	Everald Cummings	F	 	5	6	16	Trinidad
Atlanta Chiefs	1969	North American Soccer League	24	Kaizer Motaung	F	16	16	4	36	South Africa
Atlanta Chiefs	1970	North American Soccer League	1	Manfred Kammerer	G	12	0	0	0	Germany
Atlanta Chiefs	1970	North American Soccer League	2	Vic Rouse	G	12	0	0	0	Wales
Atlanta Chiefs	1970	North American Soccer League	3	John Cocking	D	24	2	0	4	England
Atlanta Chiefs	1970	North American Soccer League	5	Ken Bracewell	D	24	0	0	0	England
Atlanta Chiefs	1970	North American Soccer League	6	Henry Largie	D	21	8	2	18	Jamaica
Atlanta Chiefs	1970	North American Soccer League	7	Art Welch	F	21	13	8	34	Jamaica
Atlanta Chiefs	1970	North American Soccer League	8	Michael Ash	F	24	5	0	10	England
Atlanta Chiefs	1970	North American Soccer League	9	Nick Papadakis	F	22	10	2	22	Greece/Canada
Atlanta Chiefs	1970	North American Soccer League	12	Ray Bloomfield	F	22	1	0	2	England
Atlanta Chiefs	1970	North American Soccer League	18	Graham Newton	F	15	5	0	10	England
Atlanta Chiefs	1970	North American Soccer League	20	Everald Cummings	F	16	5	0	10	Trinidad
Atlanta Chiefs	1970	North American Soccer League	 	Manley Carter	D	4	0	0	0	USA
Atlanta Chiefs	1970	North American Soccer League	 	Uriel da Veiga	D	24	1	0	2	Brazil
Atlanta Chiefs	1970	North American Soccer League	 	Dave Metchick	M	20	8	6	22	England
Atlanta Chiefs	1970	North American Soccer League	 	Delroy Scott	D	24	0	0	0	Jamaica
Atlanta Chiefs	1971	North American Soccer League	1	Manfred Kammerer	G	21	0	0	0	Germany
Atlanta Chiefs	1971	North American Soccer League	2	Vic Rouse	G	5	0	0	0	Wales
Atlanta Chiefs	1971	North American Soccer League	3	John Cocking	D	22	0	0	0	England
Atlanta Chiefs	1971	North American Soccer League	4	Barry Lynch	D	21	8	1	17	England
Atlanta Chiefs	1971	North American Soccer League	5	Ken Bracewell	D	23	1	0	2	England
Atlanta Chiefs	1971	North American Soccer League	6	Henry Largie	D	19	3	1	7	Jamaica
Atlanta Chiefs	1971	North American Soccer League	7	Art Welch	F	19	2	5	9	Jamaica
Atlanta Chiefs	1971	North American Soccer League	8	Michael Ash	F	9	0	0	0	England
Atlanta Chiefs	1971	North American Soccer League	9	Nick Papadakis	F	24	8	1	17	Greece/Canada
Atlanta Chiefs	1971	North American Soccer League	10	Danny Paton	M	7	0	1	1	Scotland
Atlanta Chiefs	1971	North American Soccer League	11	Uriel da Veiga	D	24	0	1	1	Brazil
Atlanta Chiefs	1971	North American Soccer League	12	Alec Papadakis	M	13	0	1	1	Greece/Canada
Atlanta Chiefs	1971	North American Soccer League	14	Dave Metchick	M	8	3	0	6	England
Atlanta Chiefs	1971	North American Soccer League	15	Freddie Mwila	F	22	5	4	14	Zambia
Atlanta Chiefs	1971	North American Soccer League	16	Mick Hoban	D	21	0	0	0	England
Atlanta Chiefs	1971	North American Soccer League	19	Manley Carter	D	8	0	0	0	USA
Atlanta Chiefs	1971	North American Soccer League	24	Kaizer Motaung	F	23	5	3	13	South Africa
Atlanta Chiefs	1971	North American Soccer League	 	Alan Hamlyn	D	1	0	0	0	England/USA
Atlanta Chiefs	1972	North American Soccer League	1	Manfred Kammerer	G	11	0	0	0	Germany
Atlanta Chiefs	1972	North American Soccer League	2	Vic Rouse	G	4	0	0	0	Wales
Atlanta Chiefs	1972	North American Soccer League	3	John Cocking	D	13	1	1	3	England
Atlanta Chiefs	1972	North American Soccer League	4	Mick Hoban	D	14	0	1	1	England
Atlanta Chiefs	1972	North American Soccer League	5	Ken Bracewell	D	13	0	1	1	England
Atlanta Chiefs	1972	North American Soccer League	6	Henry Largie	D	11	2	1	5	Jamaica
Atlanta Chiefs	1972	North American Soccer League	7	Art Welch	F	13	4	4	12	Jamaica
Atlanta Chiefs	1972	North American Soccer League	8	Maurice Parkin	M	7	0	0	0	England
Atlanta Chiefs	1972	North American Soccer League	9	Nick Papadakis	F	10	1	0	2	Greece/Canada
Atlanta Chiefs	1972	North American Soccer League	10	Danny Paton	M	13	2	1	5	Scotland
Atlanta Chiefs	1972	North American Soccer League	11	Uriel da Veiga	D	13	0	0	0	Brazil
Atlanta Chiefs	1972	North American Soccer League	12	Alec Papadakis	M	14	0	0	0	Greece/Canada
Atlanta Chiefs	1972	North American Soccer League	14	Paul Child	F	12	8	1	17	England
Atlanta Chiefs	1972	North American Soccer League	15	Frank Van Der Sommen	G	 	 	 	 	 
Atlanta Chiefs	1972	North American Soccer League	16	Alan Hamlyn	D	14	1	1	3	England/USA
Atlanta Chiefs	1972	North American Soccer League	19	Manley Carter	D	1	0	0	0	USA
Atlanta Chiefs	1972	North American Soccer League	 	Steve Twellman	D	6	0	0	0	USA
Atlanta Chiefs	1979	North American Soccer League	1	Tad DeLorm	G	14	0	0	0	Germany/USA
Atlanta Chiefs	1979	North American Soccer League	2	Mike Balson	D	15	0	1	1	England
Atlanta Chiefs	1979	North American Soccer League	3	Mark MacKain	D	1	0	0	0	USA
Atlanta Chiefs	1979	North American Soccer League	4	Greg Makowski	D	29	3	6	12	USA
Atlanta Chiefs	1979	North American Soccer League	5	Branko Radovic	M	29	0	5	5	Yugoslavia
Atlanta Chiefs	1979	North American Soccer League	6	Dale Roberts	D	14	0	0	0	England
Atlanta Chiefs	1979	North American Soccer League	7	Louie Nanchoff	F	17	4	2	10	Yugoslavia/USA
Atlanta Chiefs	1979	North American Soccer League	8	Jomo Sono	F	29	5	12	22	South Africa
Atlanta Chiefs	1979	North American Soccer League	9	Jeff Bourne	F	29	18	15	51	England
Atlanta Chiefs	1979	North American Soccer League	10	Nino Zec	F	14	5	3	13	Yugoslavia
Atlanta Chiefs	1979	North American Soccer League	11	Fred Pereira	F	8	2	0	4	Portugal/USA
Atlanta Chiefs	1979	North American Soccer League	12	Carl Strong	M	25	2	3	7	USA
Atlanta Chiefs	1979	North American Soccer League	14	George Nanchoff	F	21	2	5	9	Yugoslavia
Atlanta Chiefs	1979	North American Soccer League	15	Pat McMahon	M	22	0	1	1	Scotland
Atlanta Chiefs	1979	North American Soccer League	16	Adrian Brooks	M	29	4	4	12	England
Atlanta Chiefs	1979	North American Soccer League	17	Chris Cattaneo	F	1	0	0	0	USA
Atlanta Chiefs	1979	North American Soccer League	18	Colin Waldron	D	14	0	3	3	England
Atlanta Chiefs	1979	North American Soccer League	19	Tommy Lang	D	7	0	0	0	Ireland/USA
Atlanta Chiefs	1979	North American Soccer League	20	Webster Lichaba	D	30	0	2	2	South Africa
Atlanta Chiefs	1979	North American Soccer League	21	George Dewsnip	F	17	0	10	10	England
Atlanta Chiefs	1979	North American Soccer League	22	Victor Nogueira	G	16	0	1	1	Mozambique
Atlanta Chiefs	1979	North American Soccer League	23	Bob Robson	G	2	0	0	0	USA
Atlanta Chiefs	1979	North American Soccer League	26	Neill Roberts	F	19	14	3	31	South Africa
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	1	Tad DeLorm	G	3	 	 	 	Germany/USA
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	2	Mike Balson	D	12	3	5	11	England
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	5	Branko Radovic	D	12	0	4	4	Yugoslavia
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	7	Louie Nanchoff	F	6	7	8	22	Yugoslavia/USA
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	10	David Byrne	F	12	23	11	57	England
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	11	Fred Pereira	F	12	12	10	34	Portugal/USA
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	12	Carl Strong	M	12	0	2	2	USA
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	14	George Nanchoff	F	7	7	3	17	Yugoslavia
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	15	Pat McMahon	M	11	1	4	6	Scotland
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	16	Adrian Brooks	M	12	3	12	18	England
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	20	Webster Lichaba	D	5	0	4	4	South Africa
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	22	Victor Nogueira	G	11	 	 	 	Mozambique
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	 	Stuart Lilley	G	10	0	4	4	 
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	 	Neill Roberts	F	 	 	 	 	South Africa
Atlanta Chiefs	1979-1980	North American Soccer League (indoor)	 	Joe Mui	 	6	1	3	6	 
Atlanta Chiefs	1980	North American Soccer League	1	Slobodan Ilijevski	G	3	0	0	0	Yugoslavia
Atlanta Chiefs	1980	North American Soccer League	2	Bruce Savage	D	32	0	0	0	USA
Atlanta Chiefs	1980	North American Soccer League	3	Mark MacKain	D	 	 	 	0	USA
Atlanta Chiefs	1980	North American Soccer League	4	Tony Whelan	D	28	2	1	5	England
Atlanta Chiefs	1980	North American Soccer League	5	Branko Radovic	D	30	0	2	2	Yugoslavia
Atlanta Chiefs	1980	North American Soccer League	6	Stuart Lilley	D	27	1	2	4	England
Atlanta Chiefs	1980	North American Soccer League	7	Louie Nanchoff	F	15	3	2	8	Yugoslavia/USA
Atlanta Chiefs	1980	North American Soccer League	8	Brian Alderson	M	30	2	4	8	Scotland
