team	year	number	name	position	games_played	points	minutes	goals	assists	shots	fouls
Mississippi Brilla	2008	17	Lindsay, Michael	F/M	8	5	234	2	1	4	10
Mississippi Brilla	2008	18	Lawrence, Jacob	D	15	3	1274		3	7	13
Mississippi Brilla	2008	19	Williams, Tyler	M/D	11	2	726	1		3	5
Mississippi Brilla	2008	20	Segebart, Kyle	D	5		218				1
Mississippi Brilla	2008	21	Usry, Micah	D	2		15			2	
Mississippi Brilla	2008		Braun, Adam	F/M	9	6	351	2	2	5	4
Mississippi Brilla	2008		Demmin, Craig	D	1		90				1
Mississippi Brilla	2008		Goodlett, Michael	GK							
Mississippi Brilla	2008		Hines, Charles	F	7	2	347	1		8	6
Mississippi Brilla	2008		Machel, Ricky	D							
Mississippi Brilla	2008		Thornton, Aaron	M							
Baton Rouge Capitals	2008	14	Alleman Jr, Rick (Rick)	M/D	7		200				
Baton Rouge Capitals	2008	20	Almeida, Lucas (Lucas)	M/D	12	2	1037	1		3	29
Baton Rouge Capitals	2008	10	Barros, Leonardo F	M/F	14	16	1195	7	2	26	19
Baton Rouge Capitals	2008	1	Boudreaux, Andre	GK							
Baton Rouge Capitals	2008	1	Brim, Dustyn	GK	15		1350				
Baton Rouge Capitals	2008	2	Couvillion, Joshua (Josh)	D/M	3		205			1	
Baton Rouge Capitals	2008	12	De Moraes, Adriano (Nono)	M/D	14		1257			10	19
Baton Rouge Capitals	2008	2	Gonzalez, Oscar		6		92			3	1
Baton Rouge Capitals	2008	22	Gwin, Brandon	GK							
Baton Rouge Capitals	2008	7	Judice, Anthony (Tony)	M/F	10	10	655	4	2	10	4
Baton Rouge Capitals	2008	16	Judice, Frank	D/M	12		776			1	9
Baton Rouge Capitals	2008	5	Kinsler, Jonathan	D/M	8		370			1	1
Baton Rouge Capitals	2008	15	Markey, Christopher (Chris)	M	5		281				4
Baton Rouge Capitals	2008	6	Markey, John (Johnny)	M/F	7		385			7	3
Baton Rouge Capitals	2008	9	Michelato, Diego (Diego)	F/M	13	2	526	1		13	6
Baton Rouge Capitals	2008	23	Miranda, Andres E	D	4		269				3
Baton Rouge Capitals	2008	18	Mullins, Patrick	F			0				
Baton Rouge Capitals	2008	8	Parker, Fred	M	6		142			5	5
Baton Rouge Capitals	2008	22	Peters, Ferman Anthony (Antony)	M/D	13		1170			6	9
Baton Rouge Capitals	2008	21	Ray, Gino R	F	12	9	935	4	1	17	9
Baton Rouge Capitals	2008	3	Reine, Ben (BJ)	M/D	15		760			1	12
Baton Rouge Capitals	2008	17	Reis, Guilherme (Gui)	D/M	10		886				19
Baton Rouge Capitals	2008	4	Romero, Jonahan (JR)	D/M	4		82				
Baton Rouge Capitals	2008	19	Santos, Ricardo (Ricardo)	F/M	13	7	949	2	3	16	13
Baton Rouge Capitals	2008	11	Silva, Thiago (Thiago)	M/M	15		1170			4	12
Baton Rouge Capitals	2008	6	West, Timothy (Tim)	M							
Baton Rouge Capitals	2008	13	White, Austin	M	2		87			1	
DFW Tornados	2008	23	Adibi, Adriel	D	1		45				2
DFW Tornados	2008	11	Arnold, Joseph	F	7	2	413	1		3	3
DFW Tornados	2008	21	Botting, Owen	D	14	2	1260	1		11	12
DFW Tornados	2008	4	Brooks, Eugene	M	2	2	180	1		1	
DFW Tornados	2008	18	Casillas, Taylor	D	2		22				
DFW Tornados	2008	13	Chibli, Aaron	M	12		816			1	22
DFW Tornados	2008		Da Silva, Paulo								
DFW Tornados	2008	26	De Almeida, Diego	M	9	3	372	1	1	8	5
DFW Tornados	2008	24	Doan, Evan	M	3		62				2
DFW Tornados	2008	27	Doan, Tuan	M	2	1	78		1		
DFW Tornados	2008	14	Fichera, Alexander J.	D	2		180			2	
DFW Tornados	2008	10	Guarda, Bruno	M	13	4	1080	1	2	15	25
DFW Tornados	2008	9	Hamilton, Christopher	F	14	3	1162	1	1	22	8
DFW Tornados	2008	4	Herd, Casey	D	2		49				
DFW Tornados	2008	3	Hickey, Payton	D	1		14				
DFW Tornados	2008	17	Ivo, Arthur		2	3	180	1	1	6	1
DFW Tornados	2008	23	Johnson-Hood, Robin	D	1		33			1	
DFW Tornados	2008	31	Jones, Joshua	GK	2		180				
DFW Tornados	2008	23	Lee, Jared	D	4		132				1
DFW Tornados	2008	19	Lemley, Dustin	F	11	2	268	1		2	2
DFW Tornados	2008	19	Lewis, Anthony	D	2		105			1	
DFW Tornados	2008	8	Lovegrove, Dean	M	12	2	659	1		12	23
DFW Tornados	2008	11	Mertz, James L	F	1		13				
DFW Tornados	2008	5	Mirsky, Ryan	D	10	2	830	1		5	17
DFW Tornados	2008	22	Mitchell, Jess	M	16	7	794	3	1	16	10
DFW Tornados	2008		Odette, Justin								
DFW Tornados	2008	12	Oliva, Richard	M	11		474			7	5
DFW Tornados	2008	2	Pocock, Mark	D	4		189				4
DFW Tornados	2008	2	Rodriguez Huanosto, Jesus	M	2	2	31	1		2	
DFW Tornados	2008	6	Ross, Christopher	M	10	3	758	1	1	11	5
DFW Tornados	2008	20	Saintus, Dane	M	14	2	1149	1		14	21
DFW Tornados	2008	14	Saintus, Dario		9	2	425	1		12	7
DFW Tornados	2008	7	Sajjadi, Bryan	M	13		353			2	2
DFW Tornados	2008	1	Sarber, Brian	GK	15		1350				
DFW Tornados	2008	15	Spence, Clifford Ryan	D	12	1	993		1	2	7
DFW Tornados	2008	3	Tucker, Aaron	M	2		114				
DFW Tornados	2008	16	White, Kevin	D	14	1	1135		1	3	8
New Orleans Jesters	2008	15	Acosta, David	D	5		122				1
New Orleans Jesters	2008	3	Boyd, Dylan	D	1		3				
New Orleans Jesters	2008	11	Brooks, Jon	M	9		640			1	
New Orleans Jesters	2008	20	Brooks Drummond, Andy	F	3		228			2	4
New Orleans Jesters	2008	14	Buckley, Paul	M/D	10		486				4
New Orleans Jesters	2008	7	Callon, Ben		10	5	881	2	1	5	12
New Orleans Jesters	2008	15	Chagnard, Brandon	F/M	13	8	1092	4		11	10
New Orleans Jesters	2008	22	Davies, Jamie Lee	M	13	2	1138		2	3	10
New Orleans Jesters	2008	1	DeSouza Barreto, Daniel		9		810				
New Orleans Jesters	2008	24	Denuna, Edward (Chris)								
New Orleans Jesters	2008	19	Duncan, Forrest	M/F	9	1	359		1		5
New Orleans Jesters	2008		Floyd, Benjamin								
New Orleans Jesters	2008	2	Hayers, Neil		3		154			2	
New Orleans Jesters	2008	8	Hayers, Stuart J		14	4	1236	2		5	7
New Orleans Jesters	2008	21	Lambert, Nick		3		144				
New Orleans Jesters	2008		Logan, Dean								
New Orleans Jesters	2008	25	Magennis, Stephen	M/D	6	1	480		1		1
New Orleans Jesters	2008		Merfeld, Sean		1		90				
New Orleans Jesters	2008	6	Porter, Justin		10	2	863	1		2	3
New Orleans Jesters	2008	18	Rice, Taylor		11		954			2	5
New Orleans Jesters	2008	0	Rowley, George	GK	2		180				
New Orleans Jesters	2008	13	Said Santos, Igor		4		112			2	6
New Orleans Jesters	2008	4	Sandy, Serginho K		8		699			2	8
New Orleans Jesters	2008	17	Smith, Indy		10		718			2	3
New Orleans Jesters	2008	9	Taboada, Gabe		6	2	511	1		10	4
New Orleans Jesters	2008	10	Waymont, Daniel		13	7	614	3	1	4	
New Orleans Jesters	2008	12	Young, Marc		11	3	990	1	1	1	6
New Orleans Jesters	2008	26	Zelko, Patrick		13	2	315	1		1	5
Houston Leones	2008	6	Acevedo, Erick		9	2	671		2	12	7
Houston Leones	2008	9	Ambrosy, Jay		6	2	525	1		9	14
Houston Leones	2008	4	Arellano Enriquez, Manuel		5		339			1	2
Houston Leones	2008	8	Ayala Perez, Carlos		3		58			1	
Houston Leones	2008	7	Benitez, Fernando		13	8	1170	4		5	20
Houston Leones	2008	12	Bernal, Luis ("Luizinho")	F/M	7	4	347	2		7	10
Houston Leones	2008	9	Chavez, Antonio		9	2	718	1		4	9
Houston Leones	2008	18	Dempsey, Ryan		4		157			1	2
Houston Leones	2008	23	Dodd, Christopher A		1		76				
Houston Leones	2008	20	Dominguez, Eric		11	3	535		3	11	10
Houston Leones	2008	3	Durden, Brandon J		5		407			6	2
Houston Leones	2008	5	Enriquez, Michael		11		814				8
Houston Leones	2008	6	Floyd, Benjamin		2		67			1	
Houston Leones	2008	16	German, Carlos		12	2	627	1		9	9
Houston Leones	2008		Harper, Brian								
Houston Leones	2008	11	Hernandez, Jose L.		1		135				2
Houston Leones	2008	0	Hernandez, Juan Carlos	GK	8		519				
Houston Leones	2008	17	Hernandez Herrera, Angel		13	2	579	1		3	5
Houston Leones	2008	15	Hurtado, Miguel		14	2	1149	1		13	14
Houston Leones	2008	23	Jauregui, Vladimir		8		703				
Houston Leones	2008	25	Kelly, Ross		2		50			1	
Houston Leones	2008	14	Lewis, Matthew		6		458			2	8
Houston Leones	2008	4	Meyer, Christopher		6		505			3	6
Houston Leones	2008	8	Miranda, Jose Antonio		8		634			5	3
Houston Leones	2008	2	Moore, Michael		10		828			1	16
Houston Leones	2008	11	Morales, Juan		10	2	720	1		4	7
Houston Leones	2008	13	Morales, Victor		5		141				1
Houston Leones	2008	26	Muniz, Arie J		1		30				
Houston Leones	2008	21	Orozco, Efrain		8		310			5	3
Houston Leones	2008	8	Rodriguez, Hugo		3		113			1	
Houston Leones	2008	10	Sangira, George		11	7	896	2	3	14	21
Houston Leones	2008		Strine, Matt								
Houston Leones	2008	27	Sutherland, Ricardo		4		199			1	2
Houston Leones	2008	22	Valdez, Otto		13	6	628	3		7	14
Houston Leones	2008	3	Ventura, Jeuel		3		172			1	3
Houston Leones	2008	24	Wallace, Zachary		4		151				
Central Florida Kraze	2008	16	Adams, Lyle J	D	1		34				
Central Florida Kraze	2008	9	Araujo, Carlos (Junior)	M	15	28	1093	11	6	58	30
Central Florida Kraze	2008	22	Bender, Travis	D	13	1	986		1	8	22
Central Florida Kraze	2008	0	Calise, Andrew	GK	5		110				
Central Florida Kraze	2008	13	Chin, Dennis F.	F	9	8	480	3	2	7	2
Central Florida Kraze	2008	--	D' Amore, Giulio	F	1		5				
Central Florida Kraze	2008	23	Dalton, Chad M.	D/D	5		267			1	1
Central Florida Kraze	2008	20	DeFreitas, Akil R.	F	11	11	404	4	3	14	9
Central Florida Kraze	2008	--	DeVito, Greg	D	3		19				
Central Florida Kraze	2008	18	Delgado, Xavier A.	M/M	5		207			2	5
Central Florida Kraze	2008	--	Fojo, Justin M.	M	1		49				
Central Florida Kraze	2008	4	Garcev, Alex	M	1		11				1
Central Florida Kraze	2008	1	Gorrick, Devala	GK	16		1344				
Central Florida Kraze	2008	17	Gruenewald, Jon (JD)	M	13	4	1140	1	2	5	1
Central Florida Kraze	2008	6	Herbert, Noah C.	D	12	2	1035		2	4	8
Central Florida Kraze	2008	--	Luker, Jack A.	M/M	1		31				
Central Florida Kraze	2008	12	Mattson, Michael	F	15	22	1207	6	10	34	19
Central Florida Kraze	2008	2	McCarty, Mark (Dustin)	M	4		221			3	1
Central Florida Kraze	2008	15	McLeod, Omando	M	10	3	360	1	1	4	6
Central Florida Kraze	2008	24	Mendoza Valezuela, Jonathan	M	16	5	617	2	1	13	16
Central Florida Kraze	2008	19	Millar, Josiah	M	3		110			1	2
Central Florida Kraze	2008	--	Moayer, Ardy	D	2		17				
Central Florida Kraze	2008	14	Montoya, Eusebio	F	11	1	499		1	8	5
Central Florida Kraze	2008	25	Mora Arroyave, Carlos	M	1		15			1	
Central Florida Kraze	2008	4	Mroczkowski, Nick		1		72				
Central Florida Kraze	2008	--	Munnelly, Eddie	D							
Central Florida Kraze	2008	10	Neill, Robert	M	7		161	1		4	6
Central Florida Kraze	2008	--	Robinson, Levry (Axel)	M	8	3	510	1	1	6	5
Central Florida Kraze	2008	11	Santiago, Anthony L.	D	9	1	774		1	1	2
Central Florida Kraze	2008	3	Shibly, Gabriel-Marin	D	15		1196			4	9
Central Florida Kraze	2008	--	Smith, David (Drew)	M							
Central Florida Kraze	2008	25	Taylor, Alejandro (Tony)	F							
Central Florida Kraze	2008	8	Thelen, Scott	M	13	7	981	3	1	13	18
Central Florida Kraze	2008	21	Villalba, Jason	D	14		772			1	7
Central Florida Kraze	2008	--	Wilcox, Kyle	D	4		143				1
Central Florida Kraze	2008	7	Wolfe, Tanner C.	M	16	12	935	5	2	22	6
Bradenton Academics	2008	22	Ampaipitakwong, Anthony		14	9	1024	2	5	20	3
Bradenton Academics	2008	22	Aristeguieta, Francisco		7	1	372		1	3	19
Bradenton Academics	2008	13	Bello, John		13		810			3	8
Bradenton Academics	2008	7	Boggs, Zak		14	32	1072	14	4	36	13
Bradenton Academics	2008	18	Bucknor, Sean		4	10	257	4	2	16	4
Bradenton Academics	2008	18	Calligaris Comin, Billy		1		23				
Bradenton Academics	2008	15	Cartee, Edward		2		53				
Bradenton Academics	2008	10	Galik, Jani		9	1	304		1	2	3
Bradenton Academics	2008	5	Gavin, Blair		14	8	1034	2	4	12	14
Bradenton Academics	2008	6	Ibeagha, Christian O		12	2	952	1		3	14
Bradenton Academics	2008	3	Ingvarsson, Dan		6		486			2	3
Bradenton Academics	2008	21	Knight, Wesley		12	2	768	1		4	12
Bradenton Academics	2008	23	Labusch, Kirk		1		19				
Bradenton Academics	2008	20	Manders, Andre Taurean		13	1	1041		1	3	2
Bradenton Academics	2008	11	Maxwell, Ryan		10	6	697	2	2	18	5
Bradenton Academics	2008	5	McFarland, Matthew		8	2	554	1		2	9
Bradenton Academics	2008	19	Mohammed, Javed		6		464			1	4
Bradenton Academics	2008	12	Munson, David		3		79			3	
Bradenton Academics	2008	18	Nam, Seung (Tak)		4		59				1
Bradenton Academics	2008	1	Restrepo, Diego		10		900				
Bradenton Academics	2008	2	Robinson, Alexander		4		90				2
Bradenton Academics	2008	4	Rodrigues, Miguel Da Costa		12	2	868	1			6
Bradenton Academics	2008	1	Sangeloty, Matthew		1		90				
Bradenton Academics	2008	18	Seabrook, Jordan		11	5	370	1	3	10	1
Bradenton Academics	2008	17	Sierra, Kevin		13	2	429	1		8	6
Bradenton Academics	2008	17	Starikov, Eugene		12	12	661	5	2	25	7
Bradenton Academics	2008	6	Tenn-McClellan, Austin		2		47				1
Bradenton Academics	2008	0	Thompson, Ryan		3		270				
Bradenton Academics	2008	15	Walters, Alex		2	1	52		1		1
Cary Clarets	2008	23	Ackley, Brian		2	4	180	2		6	6
Cary Clarets	2008	2	Barnes, Darrius A		15	1	1253		1	3	13
Cary Clarets	2008	11	Bone, Corben		5	6	394	1	4	1	2
Cary Clarets	2008	16	Bouemboue, Ronnie Z		9	13	661	5	3	19	6
Cary Clarets	2008	10	Brown, Cameron L		6	2	331		2	6	7
Cary Clarets	2008	4	Brown, Evan M		8	2	691		2	6	2
Cary Clarets	2008	17	Byrd, Kristopher L		4	3	291	1	1	4	6
Cary Clarets	2008	22	Caceres, Sol		6		365				4
Cary Clarets	2008	6	Callahan, Michael		15	10	1185	4	2	18	19
Cary Clarets	2008	19	Catchpole, Lee A		9	6	457	2	2	7	2
Cary Clarets	2008	5	Danso, Mamadou M		8	4	675	2		9	6
Cary Clarets	2008	9	Drake, Thomas C		5	4	405	2		10	5
Cary Clarets	2008	12	Fitzgerald, Akira S		3		180				
Cary Clarets	2008	21	Geoffrey, Denis		12	7	739	2	3	18	6
Cary Clarets	2008	24	Graye, Jordan		9		719				2
Cary Clarets	2008	21	Grella, Mike		3	5	225	2	1	9	1
Cary Clarets	2008	20	Gutierrez, Henry		1		16				1
Cary Clarets	2008	1	Haggerty, Brooks T		3		270				
Cary Clarets	2008		Howard, Jordan M								
Cary Clarets	2008		Ibeagha, Christian O								
Cary Clarets	2008	3	Lassiter, Tyler T		9	2	661	1		12	15
Cary Clarets	2008	8	Lewis, Garry L		4	1	178		1		3
Cary Clarets	2008	1	Newbold, Bryan J		7		585				
Cary Clarets	2008	23	Opara, Ikenna M		6		495				7
Cary Clarets	2008	8	Orelaja, Kenny		9	1	547		1	1	5
Cary Clarets	2008	10	Perez, Jayson F		5		208				3
Cary Clarets	2008	18	Powers, Orry A		10		781				7
Cary Clarets	2008	21	Sanchez, Alan		2	3	76	1	1	2	3
Cary Clarets	2008	11	Schilawski, Zack J		7	8	501	3	2	14	3
Cary Clarets	2008	10	Schuler, William (Billy)		3	5	135	2	1	6	
Cary Clarets	2008	7	Shriver, Brian P		13	14	989	6	2	28	8
Cary Clarets	2008	12	Tsipis, Nicholas E		5		405				
Cary Clarets	2008	17	Videira, Michael J.		10	6	831	3		15	17
Cary Clarets	2008	15	Wilson, Philip		9	2	405	1		8	4
Atlanta Silverbacks U23's	2008	25	Arthur, Sam		12	626	5	3	13	13	14
Atlanta Silverbacks U23's	2008	14	Bloom, Mark		7	504					1
Atlanta Silverbacks U23's	2008	18	Brettschneider, Blake	F	12	755	2		4	14	6
Atlanta Silverbacks U23's	2008	8	Burt, Chad		14	837	3		6	23	3
Atlanta Silverbacks U23's	2008		Carvalho, Filipe								
Atlanta Silverbacks U23's	2008	16	Collier, Bryan		13	1170	1		2	1	6
Atlanta Silverbacks U23's	2008	21	Collier, Jonathan		13	869	1		2	6	5
Atlanta Silverbacks U23's	2008	22	Cox, Jon		3	116	2	1	5	5	1
Atlanta Silverbacks U23's	2008	6	Davis, Jordan		15	1350	0			13	11
Atlanta Silverbacks U23's	2008	10	DeVito, Joe		8	477				4	6
Atlanta Silverbacks U23's	2008	0	Dieterich, Terrance	GK	1	90					
Atlanta Silverbacks U23's	2008	7	Dix, Kenny		3	180				3	2
Atlanta Silverbacks U23's	2008	15	Duckett, Kevin Bilal		3	142					
Atlanta Silverbacks U23's	2008	2	Eckhardt, Greg		1	22					1
Atlanta Silverbacks U23's	2008	27	English, Daniel	D	4	135					2
Atlanta Silverbacks U23's	2008	12	Erwood, Michael		12	1035					4
Atlanta Silverbacks U23's	2008	2	Irizarry, Danny		5	232				1	4
Atlanta Silverbacks U23's	2008	15	Jarun, Nader		5	145	1		2	9	1
Atlanta Silverbacks U23's	2008	19	Kelly, Daniel		6	355				3	2
Atlanta Silverbacks U23's	2008	0	Maurer, James R	GK	10	810					
Atlanta Silverbacks U23's	2008	20	Millien, Pascal		14	1211	4	5	13	41	1
Atlanta Silverbacks U23's	2008	23	Mitrovich, Patrick		8	565					
Atlanta Silverbacks U23's	2008	3	Murray, Patrick		10	874	3	3	9	17	8
Atlanta Silverbacks U23's	2008		Newton, David								
Atlanta Silverbacks U23's	2008	4	Nogueira, Felipe		8	541	1		2	2	
Atlanta Silverbacks U23's	2008	14	O'Neal, Chris B.		3	181					
Atlanta Silverbacks U23's	2008	11	Roushandel, Ryan		11	966	12	3	27	39	11
Atlanta Silverbacks U23's	2008	17	Scannella, Jeff		16	1362	3	9	15	19	24
Atlanta Silverbacks U23's	2008	5	Smith, Daniel		3	125				2	1
Atlanta Silverbacks U23's	2008	9	Yearwood, Kareem R	F	2	134				2	2
Panama City Pirates	2008		Bird, David	GK							
Panama City Pirates	2008		Campo, Luis	D	1		23			1	
Panama City Pirates	2008	16	Cannon, Patrick	M	3	1	128		1		2
Panama City Pirates	2008	9	Conceicao, Bruno	F	11	16	852	7	2	27	11
Panama City Pirates	2008	67	Cooper, Landon	D	8		325			1	6
Panama City Pirates	2008	25	Dill, John	M	6	3	448	1	1	5	11
Panama City Pirates	2008	20	Fouser, Dusty	F	5		115				1
Panama City Pirates	2008	1	Germann, Ryan	GK	3		405				
Panama City Pirates	2008	2	Glenn, Jonathan		5	1	184		1	3	2
Panama City Pirates	2008	11	Gregory, William (Trey)	M	12	2	658	1		5	6
Panama City Pirates	2008	7	Gumede, TwoBoy	F	13	3	1123	1	1	25	8
Panama City Pirates	2008	12	Harris, Consthandivine (CD)	F/M	15	21	937	10	1	21	6
Panama City Pirates	2008	14	Ihmeidan, Ahmad	M	9	8	917	3	2	7	8
Panama City Pirates	2008	3	Ingham, Aaron	M	3		270				
Panama City Pirates	2008	10	Lemma, Anteneh	M	9	8	696	3	2	7	8
Panama City Pirates	2008	17	Lesko, John	D	10		647			2	7
Panama City Pirates	2008	22	Lowall, Felipe		4	1	295	1	1	15	4
Panama City Pirates	2008	15	McHenry, Jimmy	F	8	7	728	3	2	15	11
Panama City Pirates	2008	8	Mroczkowski, Nick	M	12	3	1053	1	1	7	10
Panama City Pirates	2008	18	Nasco, Joe	GK	8		675				1
Panama City Pirates	2008	13	Robinson, Kenneth (Kenny)	M/F	8	2	237		2	1	3
Panama City Pirates	2008	6	Rogers, Ryan	M	5	2	192	1		3	2
Panama City Pirates	2008	4	Sorrell, Franklin Dean	D	13		1211				
Panama City Pirates	2008	19	Watkins, Clayton	D	9		358			5	5
Panama City Pirates	2008	23	Watts, Matthew	D	15	4	1350	1	2	6	11
Panama City Pirates	2008	5	Wharf, Thomas	D	12	4	931	1	2	2	9
Carolina Dynamo	2008	16	Ababio, Eddie		7	7	553	2	3	15	9
Carolina Dynamo	2008	21	Adeleye, Ryan		8	2	573	1		2	3
Carolina Dynamo	2008	17	Arnoux, Cody		8	10	627	4	2	16	6
Carolina Dynamo	2008	23	Balladores, Marcos		4		93			3	
Carolina Dynamo	2008	25	Bekka, Djamel		8	2	220	1		5	
Carolina Dynamo	2008		Brown, Matt								
Carolina Dynamo	2008	2	Cronin, Sam		10	9	900	4	1	14	5
Carolina Dynamo	2008	19	Da Silva, Miguel		11	14	472	7		10	4
Carolina Dynamo	2008	15	Dabbs, Robert C		1		17				
Carolina Dynamo	2008	10	Elisabetarson, Jokull		16	1	1360		1	1	9
Carolina Dynamo	2008	11	Franks, Jamie		9	5	773	2	1	8	4
Carolina Dynamo	2008	26	Imeni, Erfan		2		49				1
Carolina Dynamo	2008	28	Irwin, Clinton		4		315				
Carolina Dynamo	2008	9	Jata, Richard		4	2	269	1		6	5
Carolina Dynamo	2008	1	Johnson, Aaron		12		1080				
Carolina Dynamo	2008	5	Joseph, Emmanuel S		5	4	281	1	2	4	4
Carolina Dynamo	2008	22	Keever, Jason M		4	3	45	1	1	1	
Carolina Dynamo	2008	18	Kinney, Steven H		9		810			2	
Carolina Dynamo	2008	13	Lahoud, Michael		9	11	755	4	3	17	4
Carolina Dynamo	2008	20	Lebo, Christopher J		10		309			1	
Carolina Dynamo	2008	15	Lichtfuss, Justin E		5		360				
Carolina Dynamo	2008	3	Loyd, Zach A		10	3	799	1	1	10	11
Carolina Dynamo	2008	14	Mora, Jorge		11		457			5	6
Carolina Dynamo	2008	24	O'Keeffe, Edmond (EJ)		12		792				2
Carolina Dynamo	2008	6	Rodriguez, David		4	2	355	1		1	2
Carolina Dynamo	2008	21	Soto, Josue		6	3	485		3	4	
Carolina Dynamo	2008	12	Tracy, Marcus		3	2	220	1		7	1
Carolina Dynamo	2008		Tuttle, Matt T								
Carolina Dynamo	2008	4	Urso, Kirk J		15	7	907	1	5	13	11
Carolina Dynamo	2008	26	Volk, Michael		7		375				2
Carolina Dynamo	2008	7	Williams, Sheanon		11	5	985	2	1	7	17
Nashville Metros	2008	13	Anthony, Jon-Pierre	F	8	2	329	1		7	3
Nashville Metros	2008	16	Boyd, Corey	M	3	1	105		1	2	
Nashville Metros	2008	7	Boynton, Jeff	D	8		451			1	9
Nashville Metros	2008	18	Bristol, Jason		14	1	1158		1	9	19
Nashville Metros	2008	29	Bristol, Ryan	GK	2		62				
Nashville Metros	2008	15	Brown, Camden	F	7	4	364	2		2	4
Nashville Metros	2008	22	Cano, Francisco	M	9		445			2	8
Nashville Metros	2008	6	Carroll, Patrick	D	2		55				
Nashville Metros	2008		Cheatham, Harrison								
Nashville Metros	2008	15	Dawes, Dustin		9		610				10
Nashville Metros	2008	4	DeVall, Danny	M	6		463			4	11
Nashville Metros	2008	7	Franklin, Steven	M	2		180				
Nashville Metros	2008	11	Garibaldo, Antonio		5		305			5	4
Nashville Metros	2008		Gilbert, Edward	D							
Nashville Metros	2008	19	Glover, Fynn	M	2	2	180	1		2	
Nashville Metros	2008	2	Hemkens, Benjamin	D	9		760				8
Nashville Metros	2008	21	Johnson, Darryl	D	6		265				2
Nashville Metros	2008	12	Lara, Kezi	M	5	2	306	1		1	4
Nashville Metros	2008	9	Lowder, Bryan	F	10	5	678	1	3	13	7
Nashville Metros	2008	20	Marten, Michael	F	14	4	743	2		10	6
Nashville Metros	2008	14	Mayo, Kenneth	M	2		49				
Nashville Metros	2008	13	McDonald, Ryan	D	9		724			7	6
Nashville Metros	2008	7	McFarland, Patrick	F	5		325				4
Nashville Metros	2008	6	McLaughlin, Garrett	D	3		36				
Nashville Metros	2008	21	Montalvan, Erick (Fabricio)	F	9	2	686	1		7	12
Nashville Metros	2008	11	Moorad, Will	M	7		363			3	5
Nashville Metros	2008	3	Morrissey, Stephen	M	1	2	45	1		2	1
Nashville Metros	2008	14	Oropeza, Natanael	F	9	3	547	1	1	16	9
Nashville Metros	2008	31	Pantazelos, Josh	GK	2		47				
Nashville Metros	2008	10	Photivihok, Mark	M/F	2		47			1	1
Nashville Metros	2008	30	Roelke, Kyle		16		1303				
Nashville Metros	2008	21	Runyeon, Russell	M	9	2	325	1		7	6
Nashville Metros	2008	9	Snellgrose, Santiago	D	16	1	1089		1	1	9
Nashville Metros	2008	16	Stewart, Jonah	M	9		484			6	6
Nashville Metros	2008	16	Stewart, Joshua	M	8		554			4	8
Nashville Metros	2008	2	Tackling, Daniel	M	2		146			1	
Nashville Metros	2008	26	Teren, George		10		544			3	13
Nashville Metros	2008		Vooys, Xander	D							
Nashville Metros	2008	8	Williams, Terrance		3		102				1
Palm Beach Pumas	2008	0	Ancheta, Alejandro		7	555					2
Palm Beach Pumas	2008	16	Ardila, Marco		9	693				5	7
Palm Beach Pumas	2008	2	Bernal Ostos, Carlos		10	897					7
Palm Beach Pumas	2008	9	Campo, Luis		2	173	1	1	3	5	1
Palm Beach Pumas	2008	19	Caporaletti, Christian		10	900	1		2	23	3
Palm Beach Pumas	2008	4	Deer, Ainsley		1	90					
Palm Beach Pumas	2008	8	Emerson, Anthony	M	9	640				1	3
Palm Beach Pumas	2008	3	Gonzalez, Manuel		11	838		1	1	7	7
Palm Beach Pumas	2008	1	Hagiel, Shaul	GK	5	450					
Palm Beach Pumas	2008	10	Jiminson, Walter		9	654				3	1
Palm Beach Pumas	2008	15	Lalinde, Tomas A		8	526				1	3
Palm Beach Pumas	2008	4	Majekodunmi Ezem, Akintomiwa (Tommy)		7	552				5	3
Palm Beach Pumas	2008	7	Nicholas, Collin R.		10	691	3	2	8	4	4
Palm Beach Pumas	2008	17	Palau, Eric	D	10	839				3	6
Palm Beach Pumas	2008	14	Parker, Adam		9	617	1		2	6	8
Palm Beach Pumas	2008	13	Perez, Andres	M	12	1035	1		2	15	9
Palm Beach Pumas	2008	9	Reyes, Chris	M	4	261		1	1	2	6
Palm Beach Pumas	2008	11	Reyes, Michael	F	4	273				2	1
Palm Beach Pumas	2008	12	Reynolds, Marcus	D	7	328		2	2	2	2
Palm Beach Pumas	2008	17	Romero, Jonathan		4	198					2
Palm Beach Pumas	2008	6	Waldorf, Aaron		12	998	1	1	3	12	9
Palm Beach Pumas	2008	21	Ward, Ben		3	205	1	1	3	3	2
Palm Beach Pumas	2008	16	Yasur, Dor (Yoram)		1	20					
Tacoma Tide	2008	10	Agu, Rory	F	15	25	1247	11	3	26	19
Tacoma Tide	2008	14	Allbery, Dustin	D	1		90				
Tacoma Tide	2008		Blais, Chris								
Tacoma Tide	2008	13	Cox, Raphael	M	10	9	707	3	3	13	7
Tacoma Tide	2008	3	David, Machael	M	11	5	949	1	3	15	8
Tacoma Tide	2008	5	Fadida, Daniel	M/F	9	5	294	2	1	9	6
Tacoma Tide	2008	17	Gray, Daniel	M	1		150	2	1	6	1
Tacoma Tide	2008	7	Hoss, Taylor	D/M	4		292			3	3
Tacoma Tide	2008	1	Jennings, Jordan	GK	15		1330				
