        name	team	position	games_played	minutes	goals	assists	shots	fouls_committed	year
Holdenbrand, Brian	Albany Blackwatch Highlanders		9	136	1	0	1	1	2004
James, Jordan	Albany Blackwatch Highlanders		16	1408	0	0	0	1	2004
Jones, Matt	Albany Blackwatch Highlanders		15	848	2	2	7	9	2004
Lee, Logan	Albany Blackwatch Highlanders		14	535	2	1	3	4	2004
Levey, Brian	Albany Blackwatch Highlanders		0	0	0	0	0	0	2004
Mabee, Jonathan	Albany Blackwatch Highlanders		15	1132	3	5	6	4	2004
Myers, Ptah	Albany Blackwatch Highlanders		14	1141	0	0	5	9	2004
Popovich, Derek	Albany Blackwatch Highlanders		18	1558	11	2	18	21	2004
Riley, Chris	Albany Blackwatch Highlanders		11	453	0	1	3	7	2004
Southworth, Nick	Albany Blackwatch Highlanders		13	874	2	0	11	20	2004
Swann, Ben	Albany Blackwatch Highlanders		10	776	0	0	2	5	2004
Utter, Benjamin	Albany Blackwatch Highlanders		18	1682	0	1	1	4	2004
Victor, Gregory	Albany Blackwatch Highlanders		17	1448	7	1	22	15	2004
Vitale, Joseph	Albany Blackwatch Highlanders		2	27	0	0	0	2	2004
Whyte, James	Albany Blackwatch Highlanders		16	1412	0	0	2	12	2004
Acquista, Alessandro	Brooklyn Knights	M 	2	65	0	0	0	0	2004
Asencio, Leonardo	Brooklyn Knights		14	1014	0	2	6	16	2004
Borges, Andre	Brooklyn Knights		10	783	4	4	21	6	2004
Brooks, Paul	Brooklyn Knights		7	554	0	1	3	8	2004
Coelho, Ricardo	Brooklyn Knights		8	362	0	1	1	6	2004
Diallo, Aboubacar (Ben)	Brooklyn Knights	M 	3	180	1	0	3	4	2004
Elcock, Edson	Brooklyn Knights	F 	0	0	0	0	0	0	2004
Fucci, Robert	Brooklyn Knights	D 	14	1149	1	0	3	8	2004
Gatti, Guillermo (Billy)	Brooklyn Knights		17	1570	0	0	0	1	2004
Guiraw, Freddy	Brooklyn Knights		2	165	1	2	5	3	2004
Gumbrecht, Matthias	Brooklyn Knights		1	90	0	0	0	0	2004
Guren, Adam	Brooklyn Knights		2	159	0	0	1	1	2004
Hunt, James	Brooklyn Knights	D 	3	270	0	0	0	2	2004
Kramer, Daniel	Brooklyn Knights	M 	17	1145	2	1	7	8	2004
Ledesma, Carlos	Brooklyn Knights		6	270	1	1	8	13	2004
Lefferts, Chris	Brooklyn Knights	D/M 	12	763	2	0	10	4	2004
Leon-Penaranda, Daniel	Brooklyn Knights		13	1067	1	3	14	20	2004
Lesmes, Richard	Brooklyn Knights	F 	9	308	3	0	13	5	2004
Lindberg, Blake	Brooklyn Knights		8	695	1	0	2	5	2004
Megaloudis, Christopher	Brooklyn Knights		16	1308	4	3	26	8	2004
Moncaleno, Carlos	Brooklyn Knights	M 	10	684	1	2	8	12	2004
Moulard, Nicolas	Brooklyn Knights		3	141	0	0	0	2	2004
Niebles, Hemir	Brooklyn Knights		14	1028	1	0	30	14	2004
Orantes, Pablo	Brooklyn Knights	D 	17	1570	0	0	1	11	2004
Ortega, Gabe	Brooklyn Knights	D 	6	193	0	0	2	3	2004
Reuter, Steve	Brooklyn Knights		11	593	1	2	8	3	2004
Todd, Michael	Brooklyn Knights		4	299	4	0	11	1	2004
Trott, Josh	Brooklyn Knights	F 	9	533	5	0	19	6	2004
Zisimatos, Christos	Brooklyn Knights		15	1112	0	1	1	11	2004
Bonser, Aaron	Cape Cod Crusaders	D 	7	585	0	0	2	4	2004
Boudreau, Keith	Cape Cod Crusaders	GK 	2	180	0	0	0	0	2004
Bulow, David	Cape Cod Crusaders	F 	18	1366	21	3	78	18	2004
Burke, Brendan	Cape Cod Crusaders	D 	6	445	0	0	2	2	2004
Caldwell, Keith	Cape Cod Crusaders	M 	11	514	2	3	20	3	2004
Chery, Edens	Cape Cod Crusaders		5	103	0	0	1	3	2004
Christman, Nicholas	Cape Cod Crusaders	M 	7	285	0	0	6	6	2004
Collings, Isaac	Cape Cod Crusaders	M 	5	125	0	0	0	4	2004
Jackson, Tyler	Cape Cod Crusaders	M 	1	15	0	0	0	0	2004
Jones, Neil	Cape Cod Crusaders	F 	9	497	3	1	17	14	2004
Krause, John	Cape Cod Crusaders	F 	18	1020	3	6	30	17	2004
Kuykendall, Shawn	Cape Cod Crusaders	F 	16	1396	2	3	30	27	2004
Lawless, Brendan	Cape Cod Crusaders		0	0	0	0	0	0	2004
Lynch, Eoin	Cape Cod Crusaders	M/F 	11	638	1	1	15	2	2004
Mahoney, David	Cape Cod Crusaders		16	1475	0	0	0	1	2004
Masi, Eric	Cape Cod Crusaders	M 	11	526	1	0	4	8	2004
Mcathy, Drew	Cape Cod Crusaders		9	493	5	2	35	9	2004
Morsink, Kurt	Cape Cod Crusaders	M 	17	1655	0	2	9	26	2004
Ncube, Thucanil	Cape Cod Crusaders	D 	15	1352	0	0	2	7	2004
O'Brien, Dayton	Cape Cod Crusaders	F 	18	1423	4	6	24	20	2004
O'Reilly, John	Cape Cod Crusaders		4	218	0	0	4	4	2004
Palguta, Scott	Cape Cod Crusaders		14	1277	1	1	5	11	2004
Petrarca, Anthony	Cape Cod Crusaders	M 	6	528	0	1	3	6	2004
Ramos, Rafael	Cape Cod Crusaders	F 	3	54	0	0	1	0	2004
Roman, David	Cape Cod Crusaders	F 	6	297	0	1	0	4	2004
Ruddock, Jonathon	Cape Cod Crusaders		0	0	0	0	0	0	2004
Shump, Matthew	Cape Cod Crusaders	M 	0	0	0	0	0	0	2004
Smith, Carl	Cape Cod Crusaders	D 	2	138	0	0	1	1	2004
Smith, Kareem	Cape Cod Crusaders	D 	5	324	0	0	0	5	2004
Tobin, Zachary	Cape Cod Crusaders	D 	13	1062	1	0	6	8	2004
Ahumada, Matthew	Jersey Falcons	 	7	451	0	0	4	2	2004
Bajek, Gregory	Jersey Falcons		6	406	0	0	5	1	2004
Brozyna, Sebastian	Jersey Falcons		4	219	0	1	1	3	2004
Czerwinski, Marcin	Jersey Falcons		13	1075	0	0	0	1	2004
Dziamba, Thomas	Jersey Falcons		14	1246	1	0	9	7	2004
Gahagan, Scott	Jersey Falcons		7	484	0	1	8	4	2004
Gorgurewicz, Piotr	Jersey Falcons		11	891	0	0	6	19	2004
Hassan, Walid	Jersey Falcons	D 	4	306	1	0	4	3	2004
Janeczko, Marcin	Jersey Falcons		13	1170	5	1	33	19	2004
Janiczak, Wojciech	Jersey Falcons		2	143	0	0	4	0	2004
Karcz, Christopher	Jersey Falcons		4	234	1	0	13	5	2004
Kitchell, Timothy	Jersey Falcons		12	821	1	0	0	13	2004
Konopka, Chris	Jersey Falcons		8	594	0	1	0	0	2004
Kotynski, Erik	Jersey Falcons		12	1024	0	0	3	10	2004
Kotynski, Victor	Jersey Falcons		11	763	1	1	17	9	2004
Krakowiak, Wojtek	Jersey Falcons		2	130	1	0	5	4	2004
Kulak, Marcin	Jersey Falcons		5	270	0	0	7	3	2004
Matlijoski, Goran	Jersey Falcons		15	1323	3	1	41	36	2004
McMichael, James	Jersey Falcons	M 	1	90	0	0	0	0	2004
Mustac, Peterias (Tommy)	Jersey Falcons		8	631	1	0	18	10	2004
Niziolek, Derik	Jersey Falcons	M/F 	8	610	1	1	2	10	2004
Niziolek, Teddy	Jersey Falcons		12	990	0	2	3	0	2004
Rusevic, Mirza	Jersey Falcons		5	276	1	0	9	3	2004
Schiavino, Anthony	Jersey Falcons		10	815	0	1	1	3	2004
Swenda, Phillip (Phil)	Jersey Falcons		6	496	1	0	7	6	2004
Szczur, Robert	Jersey Falcons		15	831	0	1	4	8	2004
Szetela, Gregory	Jersey Falcons	D 	2	180	0	1	0	4	2004
Vasilakis, George	Jersey Falcons		0	0	0	0	0	0	2004
Yaneczko, Maacio	Jersey Falcons		1	90	0	0	1	1	2004
Zulic, Eldar	Jersey Falcons		14	965	0	0	4	16	2004
Altincatal, Arda	New Jersey Stallions	M 	6	480	2	0	13	9	2004
Angulo, Jose	New Jersey Stallions		10	876	4	0	30	15	2004
Banton, Ricardo	New Jersey Stallions	M/F 	4	382	1	1	5	12	2004
Battaglia, Anthony	New Jersey Stallions		13	1078	0	0	2	2	2004
Blacido, Jorge Avrelio	New Jersey Stallions		4	47	0	0	0	0	2004
Cukar, Daniel	New Jersey Stallions		12	837	1	0	8	7	2004
DeBrito, Carlos	New Jersey Stallions	M 	16	1455	0	0	0	1	2004
Effort, Benjamin	New Jersey Stallions		13	1021	0	0	12	17	2004
Fracchia-Bilbao, Marcelo	New Jersey Stallions	M 	13	1011	0	1	9	9	2004
Guerdat, Michael	New Jersey Stallions	D 	10	934	0	1	1	5	2004
Hurtado, Direceu	New Jersey Stallions		14	967	1	1	18	9	2004
Hurtado, Giavanny	New Jersey Stallions		11	888	0	1	5	19	2004
Jimenez-Leon, Diego (Paolo)	New Jersey Stallions		0	0	0	0	0	0	2004
Lauretta, Raffaele	New Jersey Stallions		14	979	0	0	1	7	2004
Lawlor, Matthew	New Jersey Stallions	GK 	1	19	0	0	0	0	2004
Levinson, Nikolas	New Jersey Stallions		6	126	1	0	1	3	2004
Mendez, Mario	New Jersey Stallions	D 	5	350	0	0	1	3	2004
Mendosa, Luis	New Jersey Stallions	M 	6	286	0	0	5	8	2004
Paluch, Marci	New Jersey Stallions		2	180	0	0	0	0	2004
Pompei, Greg	New Jersey Stallions		2	39	0	0	0	0	2004
Reyes, Julio	New Jersey Stallions		6	540	0	0	0	16	2004
Rigby, Jeffery	New Jersey Stallions	D/M 	6	570	1	1	7	5	2004
Schlichtmann, Saul	New Jersey Stallions		12	853	0	0	0	10	2004
Tapia-Allende, Ramone	New Jersey Stallions	F 	9	742	5	0	15	12	2004
Triscari, Gianfranco	New Jersey Stallions		9	449	0	0	6	12	2004
Valiente, Ericcson	New Jersey Stallions	F 	5	254	0	0	2	9	2004
Viola, Andre	New Jersey Stallions		0	0	0	0	0	0	2004
Witt, Ryan	New Jersey Stallions	D 	1	84	0	0	1	1	2004
Woodley, Damien	New Jersey Stallions		15	1312	1	1	3	15	2004
Yakoubi, Tarek	New Jersey Stallions		0	0	0	0	0	0	2004
Bartholomew, Arthur	Reading Rage	D/M 	16	1051	1	1	23	18	2004
Bell, Andrew	Reading Rage	F 	9	425	1	1	9	6	2004
Bernstein, Gabe	Reading Rage	M 	11	1058	0	1	14	20	2004
Bruths, Craig	Reading Rage	F 	1	4	0	0	0	0	2004
Chapay, Jorge	Reading Rage	F 	13	675	4	1	11	8	2004
Clay, Adam	Reading Rage	M 	3	28	0	0	0	0	2004
Coleman, Kevin	Reading Rage	D/M 	10	866	2	1	5	11	2004
Davies, Sean	Reading Rage	M 	7	285	0	1	3	5	2004
Eddinger, Zachariah	Reading Rage	D 	3	245	0	1	2	0	2004
Edwards, Adam	Reading Rage	GK 	2	180	0	0	0	0	2004
Graham, John (Stash)	Reading Rage	GK 	14	1331	0	0	0	0	2004
Greenwalt, Tommy	Reading Rage	D/M 	17	1599	0	0	6	29	2004
Gring, Danny	Reading Rage	D 	9	517	0	0	2	7	2004
Guimaraes, Helio (Junior)	Reading Rage	M 	3	69	0	1	0	2	2004
Hodgson, David	Reading Rage	D/M 	7	525	0	0	2	12	2004
Klipp, Devon	Reading Rage	M 	6	305	0	0	6	5	2004
Koegel, Jeffrey	Reading Rage	D/M 	16	1404	1	3	11	31	2004
Lockwood, Robert	Reading Rage	GK 	2	180	0	0	0	0	2004
McDowell, Scott	Reading Rage	F 	11	314	2	2	7	7	2004
Nusshag, Kurt	Reading Rage	D 	16	1414	2	1	9	19	2004
Parrish, Eric	Reading Rage	D/M 	17	1539	1	1	7	12	2004
Roberts, Ryan	Reading Rage	M 	1	2	0	0	0	0	2004
Rowley, Peter	Reading Rage	F 	0	0	0	0	0	0	2004
Severs, Chad	Reading Rage	M/F 	12	1044	5	1	41	15	2004
Stanco, Patrick	Reading Rage	M/F 	18	1643	8	1	65	29	2004
Stoviak, John (Tyler)	Reading Rage	D 	2	42	0	0	1	1	2004
Uslu, Baris (JoJo)	Reading Rage	M 	3	139	0	0	3	4	2004
Whalley, Christopher	Reading Rage	D/M 	10	511	0	1	6	12	2004
Williamson, Jonathon	Reading Rage	M 	4	120	0	0	0	2	2004
Wirtz, Kenneth (Buddy)	Reading Rage	M 	0	0	0	0	0	0	2004
Zewe, Joe	Reading Rage	M 	13	1063	1	3	30	17	2004
Antunes-Silva, Indalecio	Rhode Island Stingrays	M 	15	1393	20	5	34	9	2004
Barbosa, Almir	Rhode Island Stingrays	F 	4	275	2	0	2	1	2004
Colaluca, Joseph	Rhode Island Stingrays		1	15	0	0	0	0	2004
Colaluca, Nicholas	Rhode Island Stingrays		5	430	0	0	3	3	2004
Cunliffe, Alexander	Rhode Island Stingrays		8	521	0	1	1	4	2004
Daniels, Andrew	Rhode Island Stingrays		0	0	0	0	0	0	2004
Fernandes, Carlos	Rhode Island Stingrays	F 	17	1628	2	0	3	7	2004
Fernandes, Narciso	Rhode Island Stingrays	F 	17	1588	11	5	19	21	2004
Fortes-Lopes, Rui	Rhode Island Stingrays		3	190	0	0	0	0	2004
Gatti, Simon	Rhode Island Stingrays		14	1059	2	1	3	9	2004
Gladney, Eric	Rhode Island Stingrays		0	0	0	0	0	0	2004
Goncalves-Bravao, Jose	Rhode Island Stingrays		16	1274	0	1	8	6	2004
Lander, Conor	Rhode Island Stingrays	M 	2	19	0	0	0	0	2004
Miller, Robert	Rhode Island Stingrays		11	986	0	0	1	4	2004
Napolitano, Chris	Rhode Island Stingrays	F 	11	1079	6	2	15	9	2004
Neves, Caleb	Rhode Island Stingrays	M/F 	0	0	0	0	0	0	2004
Newman, Jeffrey	Rhode Island Stingrays	GK 	12	1088	0	0	0	0	2004
Nobrega, Derek	Rhode Island Stingrays		10	412	1	0	2	6	2004
Pereira, Michael	Rhode Island Stingrays		2	32	0	0	0	2	2004
Plummer, Clayton	Rhode Island Stingrays	M 	0	0	0	0	0	0	2004
Quigley, Sean	Rhode Island Stingrays	D 	1	9	0	0	0	0	2004
Romaneiro, Marcos	Rhode Island Stingrays	M/F 	14	895	2	4	5	6	2004
Rossi, Nicholas	Rhode Island Stingrays		4	51	0	0	0	0	2004
Sierman, Andrew	Rhode Island Stingrays	GK 	5	450	0	0	0	0	2004
Silva, Carlos	Rhode Island Stingrays		4	360	0	0	0	2	2004
Smith, Jeffrey	Rhode Island Stingrays		14	662	4	0	7	7	2004
Troy, Michael	Rhode Island Stingrays		10	255	1	0	3	4	2004
Varholak, Nicholas	Rhode Island Stingrays	D 	4	146	1	0	1	0	2004
Villasenor-Morales, Jose	Rhode Island Stingrays		14	918	0	3	0	7	2004
Ward-Smith, Anthony	Rhode Island Stingrays		15	1247	0	1	1	5	2004
Ward-Smith, David	Rhode Island Stingrays		4	153	0	2	0	1	2004
Agu, Darlington (Majik)	South Jersey Barons	 	2	25	0	0	1	1	2004
Banks, Joseph	South Jersey Barons		15	1430	1	0	8	9	2004
Braxton, Gene	South Jersey Barons		0	0	0	0	0	0	2004
Brocker, Joe	South Jersey Barons		5	310	0	0	0	3	2004
Brown, Leon	South Jersey Barons		12	1014	1	0	10	11	2004
Carmichael, Byron	South Jersey Barons		11	963	10	2	19	13	2004
Carr, Ryan	South Jersey Barons		8	740	0	0	0	0	2004
Daigle, David	South Jersey Barons		16	1304	2	1	10	10	2004
Devlin, Brian	South Jersey Barons		13	1169	3	3	26	27	2004
Donatelli, Tony	South Jersey Barons		18	1393	4	3	18	11	2004
Franks, Jamie	South Jersey Barons		0	0	0	0	0	0	2004
Gannon, Thomas	South Jersey Barons		4	50	0	0	0	0	2004
Gomes, Aaron	South Jersey Barons		0	0	0	0	0	0	2004
Hannigan, Patrick	South Jersey Barons		10	960	0	0	0	0	2004
Heins, Ryan	South Jersey Barons	F 	14	847	3	3	15	24	2004
Holloway, Neil	South Jersey Barons	M 	15	1361	7	4	30	27	2004
Issa, Mousa	South Jersey Barons		9	511	0	0	4	2	2004
Maher, Matt	South Jersey Barons		11	515	4	1	10	10	2004
Mingo, Ruben	South Jersey Barons		17	1454	12	5	43	17	2004
Overdevest, Ryan	South Jersey Barons	M 	8	468	0	1	4	7	2004
Ross, Travis	South Jersey Barons		3	91	0	0	0	0	2004
Sadler, Justin	South Jersey Barons		10	866	2	4	7	5	2004
Suah, Thomas	South Jersey Barons		4	140	0	0	4	1	2004
Thompson, John	South Jersey Barons	D 	18	1660	0	0	2	13	2004
Williams, Christopher	South Jersey Barons		11	932	0	0	2	4	2004
Wilson, Dorley	South Jersey Barons		7	439	0	1	17	6	2004
Armington, Nicholas	Vermont Voltage	 	0	0	0	0	0	0	2004
Benson, Mark	Vermont Voltage		13	661	0	1	7	10	2004
Bernal, Matt	Vermont Voltage		15	956	0	0	3	8	2004
Boss, Terry	Vermont Voltage		2	180	0	0	0	0	2004
Bronner, Corey	Vermont Voltage		11	912	0	0	24	12	2004
Cooper, Freddy	Vermont Voltage		1	0	0	0	0	0	2004
Diallo, Thierno	Vermont Voltage		12	872	0	0	0	19	2004
Everall, James	Vermont Voltage		11	849	0	0	1	12	2004
Forenza, Mike	Vermont Voltage		16	1062	3	0	18	11	2004
Friend, Cooper	Vermont Voltage		15	1216	0	1	5	8	2004
Grechka, Bogdan	Vermont Voltage		9	145	0	0	3	1	2004
Kennedy, Matthew	Vermont Voltage		14	517	0	0	3	11	2004
Lukic, Pedja	Vermont Voltage	D 	11	612	0	0	0	2	2004
Nuzzi, Philip	Vermont Voltage		5	35	0	0	0	0	2004
Popovic, Milenko	Vermont Voltage	M 	7	580	1	1	9	10	2004
Savaria, Mathieu	Vermont Voltage	D 	2	180	0	0	0	7	2004
Self, Brandon	Vermont Voltage		3	164	0	0	0	4	2004
Self, Robert	Vermont Voltage		16	1182	0	0	2	28	2004
Sharpe, Christopher	Vermont Voltage		16	1100	0	0	0	1	2004
Simic, Bozidar	Vermont Voltage	D 	15	1350	4	1	32	23	2004
Sunj, Irjasen	Vermont Voltage		8	292	0	0	6	4	2004
Thompson, Geoff	Vermont Voltage		17	1173	2	2	26	23	2004
Vuckovic, Bojan (Bo)	Vermont Voltage	D 	1	23	0	0	0	0	2004
Vuckovic, Branko	Vermont Voltage	F 	15	680	0	0	9	9	2004
Wagner, Jason	Vermont Voltage		2	72	0	0	0	0	2004
Wilcox, Ben	Vermont Voltage	D 	10	592	0	0	0	4	2004
Zura, Christopher	Vermont Voltage	M 	17	1386	0	1	1	2	2004
Alvarado, Christopher	Austin Lightning		2	180	0	0	0	0	2004
Anderson, Paul	Austin Lightning		3	111	0	0	0	0	2004
Ashiofu, Anthony	Austin Lightning		4	326	2	0	14	4	2004
Atteffah, Koby	Austin Lightning		0	0	0	0	0	0	2004
Barnett, Christopher (Chi)	Austin Lightning	D/M 	4	328	0	0	3	3	2004
Clark, Bryant	Austin Lightning	D 	11	984	0	0	2	6	2004
Clark, Shane	Austin Lightning		1	18	0	0	0	0	2004
Cuero, Diego	Austin Lightning	M 	9	715	3	4	36	8	2004
Ellis, Neal	Austin Lightning		2	52	0	0	0	0	2004
Galicia-Resendiz, Juan	Austin Lightning	M 	3	75	0	0	3	3	2004
Gallardo-Aparicio, Miguel	Austin Lightning	GK 	15	1401	0	0	0	0	2004
Godbolt, Aaron	Austin Lightning	M 	5	470	0	0	5	6	2004
Guadarrama, Guillermo	Austin Lightning	M 	10	769	2	1	22	6	2004
Guadarrama, Sonny	Austin Lightning	M 	6	513	3	0	7	3	2004
Herrera, Hilario	Austin Lightning		17	1143	0	0	10	16	2004
Hopkins, Kyle	Austin Lightning		6	487	1	0	3	4	2004
Irias, Juan	Austin Lightning		10	758	0	0	6	9	2004
Jehangir, Noor	Austin Lightning		2	94	0	0	0	1	2004
Jones, Christian	Austin Lightning		1	44	0	0	1	1	2004
Jones, Michael	Austin Lightning	F 	1	32	0	0	1	0	2004
Junot, William	Austin Lightning		0	0	0	0	0	0	2004
Long, Forrest	Austin Lightning		15	1370	0	1	6	20	2004
Mutchler, Nathan	Austin Lightning		11	523	1	0	1	10	2004
Okoro, Chinedu	Austin Lightning		8	485	0	0	2	7	2004
Parra, Raymond	Austin Lightning		12	1129	1	0	9	14	2004
Rizental, Luiz	Austin Lightning		9	279	0	1	0	5	2004
Satoh, Daigo	Austin Lightning	D 	8	604	0	0	4	8	2004
Steubing, Matt	Austin Lightning		16	1337	1	2	10	12	2004
Swank, Joshua	Austin Lightning	F 	9	747	1	1	15	8	2004
Uriarte, Jon	Austin Lightning	M 	8	750	4	1	23	11	2004
Uriarte, Marcelino	Austin Lightning	M 	12	1129	2	2	17	17	2004
Vidal, Miguel	Austin Lightning		15	1352	0	0	5	16	2004
Williamson, Andrew	Austin Lightning	D 	4	360	0	0	3	7	2004
Abbott, Trent	DFW Tornados	 	12	832	0	0	3	11	2004
Andrade de Souza, Lourenzo	DFW Tornados		17	1421	22	5	75	29	2004
Bergeron, Dwayne	DFW Tornados		16	1370	3	3	28	40	2004
Brodigan, Bernard	DFW Tornados	D 	2	2	0	0	0	0	2004
Cates, Vassar	DFW Tornados		17	829	1	2	11	9	2004
Chandler, Jared	DFW Tornados		16	1058	0	7	13	9	2004
Couvillion, Joshua	DFW Tornados	D 	17	1281	0	5	5	10	2004
Cruz, Leone (Juan)	DFW Tornados	D 	9	623	2	0	5	6	2004
Deering, Chad	DFW Tornados	D 	4	142	0	0	1	1	2004
Dickenson, Joey	DFW Tornados	M 	10	596	0	0	4	12	2004
Gorski, Ryszard	DFW Tornados		17	1243	0	0	0	0	2004
Guendoozi, Tarik	DFW Tornados		11	639	3	1	9	9	2004
Hammett, Robert	DFW Tornados		13	919	1	0	4	14	2004
Hill, Joshua	DFW Tornados		6	96	0	0	1	2	2004
King, Clay	DFW Tornados		17	1328	3	1	31	20	2004
Koehler, James	DFW Tornados	F 	3	133	0	0	9	1	2004
Madigan, Casey	DFW Tornados		11	539	0	0	9	7	2004
Odera, Joard	DFW Tornados		9	760	0	0	2	13	2004
Paparounis, Anastasios	DFW Tornados		5	301	0	0	0	0	2004
Plute, Ronald	DFW Tornados	D 	17	1528	0	4	1	20	2004
Press, Jerry	DFW Tornados		3	8	0	0	0	0	2004
Rake, Kristopher	DFW Tornados	GK 	2	82	0	0	0	0	2004
Rowland, Mark	DFW Tornados		18	1547	12	11	56	11	2004
Terry, Kevin	DFW Tornados		0	0	0	0	0	0	2004
Watson, Jamie	DFW Tornados	F 	5	313	3	3	12	7	2004
Weese, Kenneth	DFW Tornados		9	240	2	0	10	2	2004
Arreola, Victor	El Paso Patriots	M 	16	1267	2	3	16	7	2004
Arrieta, Martin	El Paso Patriots		1	14	0	0	0	0	2004
Barrigan, Andrew	El Paso Patriots	F 	2	105	0	0	0	0	2004
Berrera-Baldenbro, Antonio	El Paso Patriots	M 	15	413	0	4	3	8	2004
Burciaga-Meraz, Oscar	El Paso Patriots	GK 	5	450	0	0	0	0	2004
Cabrera, Paul	El Paso Patriots	M 	14	803	1	2	2	15	2004
Carrasco, Javier	El Paso Patriots		2	20	0	0	1	1	2004
Carrillo, Ignacio	El Paso Patriots	D 	4	134	0	0	0	2	2004
Castaneda, Daniel	El Paso Patriots	M 	12	427	2	0	10	9	2004
Cervantes, Enrique Ivan	El Paso Patriots	M 	15	972	1	0	8	8	2004
Coronel, Luis	El Paso Patriots		7	205	1	1	1	3	2004
Davalos, Paul	El Paso Patriots	D 	4	169	0	0	1	1	2004
Diaz, Jose Hamlet	El Paso Patriots	D 	7	612	1	0	3	4	2004
Francis, Ricky	El Paso Patriots		7	570	0	0	3	13	2004
Frias-Adame, Julio	El Paso Patriots	F 	17	1451	25	6	61	20	2004
Garcia-Ortiz, Mario	El Paso Patriots	D 	16	1396	0	1	2	23	2004
Gonzalez, Leonel	El Paso Patriots	D 	2	65	0	0	0	0	2004
Hernandez, Hilario	El Paso Patriots		1	90	1	0	1	1	2004
Hernandez, Juan	El Paso Patriots	M 	5	121	0	0	3	6	2004
Larrosa-Sauco, Miguel	El Paso Patriots	F 	18	1529	14	8	62	17	2004
McFarlane, Guillermo	El Paso Patriots	D 	3	248	0	0	1	4	2004
Mercado-Lujan, Salvador	El Paso Patriots	M 	14	1111	5	5	16	17	2004
Mora-Gomez, Victor Omar	El Paso Patriots	F 	6	398	4	0	13	3	2004
Morin, Rodrigo	El Paso Patriots	M 	11	572	0	1	6	12	2004
Morin-Dominguez, Sergio	El Paso Patriots		2	12	0	0	0	0	2004
Palacios, Esteban	El Paso Patriots	D 	16	1370	0	0	3	23	2004
Pinedo-Irgoyen, Santiago	El Paso Patriots	M 	14	1088	4	1	9	39	2004
Purertas, Christopher	El Paso Patriots	F 	4	25	1	0	2	0	2004
Rivera-Solis, Roberto	El Paso Patriots	GK 	13	1170	0	0	0	0	2004
Rodriguez, Luis	El Paso Patriots	D 	1	90	0	0	0	0	2004
Torres, Cesar	El Paso Patriots	D 	4	272	0	0	0	4	2004
Alvarez, Carlos	Lafayette Swamp Cats	M 	15	1226	8	2	40	31	2004
Angelle, Justin	Lafayette Swamp Cats		3	40	0	0	0	1	2004
Aparicio, Anselmo	Lafayette Swamp Cats	M 	2	135	0	0	2	3	2004
Austin, Christopher	Lafayette Swamp Cats		10	938	0	0	3	12	2004
Bautista, Rudy	Lafayette Swamp Cats		2	180	0	0	2	2	2004
Beck, Jason	Lafayette Swamp Cats	D 	2	180	0	0	0	1	2004
Boyle, Adrian	Lafayette Swamp Cats		7	662	0	0	0	4	2004
Brunet, Jonathan	Lafayette Swamp Cats		2	190	0	0	0	2	2004
Caldwell, Martin	Lafayette Swamp Cats		0	0	0	0	0	0	2004
Campean, David	Lafayette Swamp Cats	GK 	1	0	0	0	0	0	2004
Charles, Daniel	Lafayette Swamp Cats	F 	2	90	0	0	0	0	2004
Cottam, Blaine	Lafayette Swamp Cats		11	518	1	1	4	11	2004
Garcia, Alex	Lafayette Swamp Cats	M 	1	0	0	0	0	0	2004
George, Jeffrey	Lafayette Swamp Cats		2	55	0	0	0	1	2004
Gomez-Alvarez, Carlos	Lafayette Swamp Cats		0	0	0	0	0	0	2004
Goodloe, John	Lafayette Swamp Cats		11	896	1	0	4	14	2004
Guzzo, Adam	Lafayette Swamp Cats		10	938	0	0	0	0	2004
Holtz, Andrew	Lafayette Swamp Cats	GK 	2	135	0	0	0	0	2004
Lapira, Joseph	Lafayette Swamp Cats		2	198	0	0	3	3	2004
Leblue, Scott	Lafayette Swamp Cats		0	0	0	0	0	0	2004
Lopez, Jonas	Lafayette Swamp Cats		3	225	0	0	4	0	2004
Madaugwu, Chindeu	Lafayette Swamp Cats		0	0	0	0	0	0	2004
Martin, Ryan	Lafayette Swamp Cats		15	837	2	1	16	17	2004
Millet, Mathew	Lafayette Swamp Cats	M 	14	870	1	1	6	15	2004
Paso, Rob	Lafayette Swamp Cats		1	90	0	0	0	3	2004
Pastor, Javier	Lafayette Swamp Cats		5	464	0	0	0	0	2004
Pykett, Craig	Lafayette Swamp Cats	D 	6	300	0	0	2	9	2004
Quenaves, Harvey	Lafayette Swamp Cats	D 	2	135	0	0	0	1	2004
Raborn, Adam	Lafayette Swamp Cats		5	213	0	1	1	4	2004
Rebuck, Daniel	Lafayette Swamp Cats	F 	7	639	2	0	7	8	2004
Reyes, Julio	Lafayette Swamp Cats	M 	4	147	0	1	3	4	2004
Richard, Justin	Lafayette Swamp Cats		3	143	0	0	0	0	2004
Risco, Ruben	Lafayette Swamp Cats		8	513	1	2	5	8	2004
Sandoval, Jaime	Lafayette Swamp Cats	M 	2	180	0	0	3	0	2004
Senecal, Thomas	Lafayette Swamp Cats		9	840	0	0	14	16	2004
Stewart, Brandon	Lafayette Swamp Cats		11	975	1	1	8	13	2004
Stovall, Anthony	Lafayette Swamp Cats		13	1127	0	2	15	16	2004
Stovall, David	Lafayette Swamp Cats		13	886	1	3	11	15	2004
