Jim Rolland	California Sunshine	American Soccer League (1934-1983)	1980	18	8	11
Marciso Doval	New York United	American Soccer League (1934-1983)	1980	17	12	2
Joe Fink	Cleveland Cobras	American Soccer League (1934-1983)	1980	22	12	2
Ruen Astigarraga	Cleveland Cobras	American Soccer League (1934-1983)	1980	23	10	6
Malcolm Filby	Sacramento Gold	American Soccer League (1934-1983)	1980	16	11	3
Walter Schlothauer	Cleveland Cobras	American Soccer League (1934-1983)	1980	22	7	9
Bill Bolevic	New York Eagles	American Soccer League (1934-1983)	1981	26	25	9
Andy Chapman	Cleveland Cobras	American Soccer League (1934-1983)	1981	25	22	10
Mike Mancini	Detroit Express	American Soccer League (1934-1983)	1981	26	16	10
Redmond Lee	New York United	American Soccer League (1934-1983)	1981	23	14	10
Tony Suarez	Carolina Lightnin'	American Soccer League (1934-1983)	1981	22	15	4
Mike Leachev	Rochester Flash	American Soccer League (1934-1983)	1981	20	13	5
Lesh Shrkeli	New York Eagles	American Soccer League (1934-1983)	1981	25	7	15
Clyde Watson	Pennsylvania Stoners	American Soccer League (1934-1983)	1981	24	11	2
Brian Tinnion	Detroit Express	American Soccer League (1934-1983)	1981	22	9	6
Zoran Savic	Cleveland Cobras	American Soccer League (1934-1983)	1981	25	9	5
Elson Seale	Pennsylvania Stoners	American Soccer League (1934-1983)	1981	23	9	4
Mal Roche	Carolina Lightnin'	American Soccer League (1934-1983)	1981	22	8	5
Ron Atanasio	Detroit Express	American Soccer League (1934-1983)	1981	24	6	9
Walter Schlothauer	Detroit Express	American Soccer League (1934-1983)	1981	29	6	8
Solomon Hilton	New York United	American Soccer League (1934-1983)	1981	23	7	5
Brian Tinion	Detroit Express	American Soccer League (1934-1983)	1982		22	15
Andy Chapman	Detroit Express	American Soccer League (1934-1983)	1982		23	6
Jeff Bourne	Oklahoma City Slickers	American Soccer League (1934-1983)	1982		20	8
Billy Boljevic	Detroit Express	American Soccer League (1934-1983)	1982		13	14
Jose Neto	Georgia Generals	American Soccer League (1934-1983)	1982		15	4
Kevin Fouser	Georgia Generals	American Soccer League (1934-1983)	1982		11	6
Ernie Buriano	Rochester Flash	American Soccer League (1934-1983)	1982		9	6
Pat Fidelia	Carolina Lightnin'	American Soccer League (1934-1983)	1982		8	3
Solomon Hilton	Pennsylvania Stoners	American Soccer League (1934-1983)	1982		6	6
Franco Paonessa	Rochester Flash	American Soccer League (1934-1983)	1982		6	5
Clyde Watson	Detroit Express	American Soccer League (1934-1983)	1982		6	5
Jeff Bourne	Dallas Americans	American Soccer League (1934-1983)	1983		17	4
Micky Zivaljevic	Jacksonville Tea Men	American Soccer League (1934-1983)	1983		16	5
Alex English	Jacksonville Tea Men	American Soccer League (1934-1983)	1983		11	8
Poli Garcia	Jacksonville Tea Men	American Soccer League (1934-1983)	1983		9	11
Stuart Lee	Carolina Lightnin'	American Soccer League (1934-1983)	1983		11	2
Bill Boljevic	Detroit Express	American Soccer League (1934-1983)	1983		9	6
Andy Chapman	Detroit Express	American Soccer League (1934-1983)	1983		9	3
Solomon Hilton	Pennsylvania Stoners	American Soccer League (1934-1983)	1983		8	3
Giulio Bernardi	Pennsylvania Stoners	American Soccer League (1934-1983)	1983		9	1
Tony Johnson	Pennsylvania Stoners	American Soccer League (1934-1983)	1983		6	6
John Welsch	Dallas Americans	American Soccer League (1934-1983)	1983		7	4
Tony Suarez	Carolina Lightnin'	American Soccer League (1934-1983)	1983		7	4
Nino Zec	Jacksonville Tea Men	American Soccer League (1934-1983)	1983		6	4
Kevin Fouser	Carolina Lightnin'	American Soccer League (1934-1983)	1983		8	0
Brent Goulet	FC Portland	Western Soccer Alliance	1986		9	2
M. Miller	FC Portland	Western Soccer Alliance	1986		7	5
Chance Fry	San Jose Earthquakes	Western Soccer Alliance	1986		8	2
Dennis Gunnell	Seattle Storm	Western Soccer Alliance	1986		7	1
C. Marquez	Edmonton Brickmen	Western Soccer Alliance	1986		5	5
Rob Ryerson	San Diego Nomads	Western Soccer Alliance	1986		6	0
Derek Sanderson	San Jose Earthquakes	Western Soccer Alliance	1986		5	2
Michael Brady	Los Angeles Heat	Western Soccer Alliance	1986		5	1
Norm Odinga	Edmonton Brickmen	Western Soccer Alliance	1986		5	1
Steve McCargo	San Jose Earthquakes	Western Soccer Alliance	1986		5	0
Joe Mihaljevic	San Jose Earthquakes	Western Soccer Alliance	1987		7	2
Marcelo Balboa	San Diego Nomads	Western Soccer Alliance	1987		6	0
Geoff Wall	Seattle Storm	Western Soccer Alliance	1987		4	4
Mike Enneking	Seattle Storm	Western Soccer Alliance	1987		5	0
George Pastor	San Jose Earthquakes	Western Soccer Alliance	1987		4	2
John Hamel	Seattle Storm	Western Soccer Alliance	1987		3	1
John Gerrard	Los Angeles Heat	Western Soccer Alliance	1987		3	1
Jadir	San Jose Earthquakes	Western Soccer Alliance	1987		2	3
Ken Boardman	San Diego Nomads	Western Soccer Alliance	1987		2	3
John Sissons	San Diego Nomads	Western Soccer Alliance	1987		3	0
