NPSL	1967	Baltimore		11	Toronto	a	4,2			4723
NPSL	1967	Baltimore		16	New York	h	1,2			6422
NPSL	1967	Baltimore		23	Chicago	h	2,1			4347
NPSL	1967	Baltimore		26	Los Angeles	h	3,2			6422
NPSL	1967	Baltimore		28	Chicago	a	1,3			7243
NPSL	1967	Baltimore		30	New York	h	3,3			5925
NPSL	1967	Baltimore		5	Atlanta	a	2,2			7230
NPSL	1967	Baltimore		9	New York	a	1,0			5807
NPSL	1967	Baltimore		13	St. Louis	h	3,1			5604
NPSL	1967	Baltimore		16	Philadelphia	h	0,1			11329
NPSL	1967	Baltimore		20	Atlanta	a	0,0			4361
NPSL	1967	Baltimore		27	Pittsburgh	a	2,3			892
NPSL Playoffs	1967	Baltimore		3	Oakland	h	1,0			16329
NPSL Playoffs	1967	Baltimore		9	Oakland	a	1,4			9037
NPSL	1967	Chicago	4	16	St. Louis	h	2,1			4720
NPSL	1967	Chicago		18	Toronto	h	1,0			811
NPSL	1967	Chicago		22	New York	a	1,2			7766
NPSL	1967	Chicago		28	Baltimore	h	0,2			3753
NPSL	1967	Chicago		21	Philadelphia	h	0,0			879
NPSL	1967	Chicago		7	St. Louis	a	1,2			11529
NPSL	1967	Chicago		13	Baltimore	a	2,2			3521
NPSL	1967	Chicago		16	Los Angeles	h	1,1			2267
NPSL	1967	Chicago		20	Pittsburgh	a	1,3			2103
NPSL	1967	Chicago		24	Oakland	a	1,1			2538
NPSL	1967	Chicago		28	Los Angeles	a	1,1			2577
NPSL	1967	Chicago		30	New York	h	0,0			3741
NPSL	1967	Chicago		4	Atlanta	a	4,4			3608
NPSL	1967	Chicago		6	Toronto	a	1,4			2264
NPSL	1967	Chicago		9	Oakland	h	1,2			1355
NPSL	1967	Chicago		13	Los Angeles	h	0,3			870
NPSL	1967	Chicago		18	Philadelphia	h	3,1			2125
NPSL	1967	Chicago		25	Philadelphia	a	2,0			2986
NPSL	1967	Chicago		30	Oakland	h	1,1			1349
NPSL	1967	Chicago		3	Pittsburgh	h	2,2			1615
NPSL	1967	Chicago		9	New York	a	3,2			2932
NPSL	1967	Chicago		14	Atlanta	h	2,1			3546
NPSL	1967	Chicago		23	Baltimore	a	1,2			4347
NPSL	1967	Chicago		28	Baltimore	h	3,1			7243
NPSL	1967	Chicago		11	Toronto	a	3,3			3982
NPSL	1967	Chicago		6	St. Louis	h	2,1			3354
NPSL	1967	Chicago		9	Philadelphia	a	3,2			4845
NPSL	1967	Chicago		11	Los Angeles	a	2,1			1817
NPSL	1967	Chicago		16	Oakland	a	1,3			5715
NPSL	1967	Chicago		18	Toronto	h	1,2			1518
NPSL	1967	Chicago		22	New York	h	3,3			2754
NPSL	1967	Chicago		25	St. Louis	a	1,2			1353
NPSL	1967	Los Angeles	4	16	New York	h	3,2			9048
