Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Appiah, Samuel	Houston Dynamo	Houston Dynamo	Kansas City Wizards	5/1/2010	88		LGE	Oduro, Dominic	Serioux, Adrian	
Allsopp, Danny	D.C. United	D.C. United	Kansas City Wizards	5/5/2010	11		LGE	Wallace, Rodney		
Allsopp, Danny	D.C. United	D.C. United	Kansas City Wizards	5/5/2010	33		LGE	Cristman, Adam		
Kamara, Kei	Kansas City Wizards	D.C. United	Kansas City Wizards	5/5/2010	90		LGE	Wolff, Josh	Bunbury, Teal	
Kamara, Kei	Kansas City Wizards	Kansas City Wizards	Chicago Fire	5/15/2010	50		LGE	Smith, Ryan		
Kamara, Kei	Kansas City Wizards	Kansas City Wizards	Chicago Fire	5/15/2010	88		LGE			
Martinez, Julio	Chicago Fire	Kansas City Wizards	Chicago Fire	5/15/2010	13		LGE	Pappa, Marco	Pause, Logan	
McBride, Brian	Chicago Fire	Kansas City Wizards	Chicago Fire	5/15/2010	47		LGE	Nyarko, Patrick	Pappa, Marco	
Renteria, Emilio	Columbus Crew	Kansas City Wizards	Columbus Crew	5/23/2010	63		LGE	Schelotto, Guillermo Barros		
Espindola, Fabian	Real Salt Lake	Real Salt Lake	Kansas City Wizards	5/29/2010	30		LGE	Saborio, Alvaro	Williams, Andy	
Saborio, Alvaro	Real Salt Lake	Real Salt Lake	Kansas City Wizards	5/29/2010	33		LGE			
Russell, Robbie	Real Salt Lake	Real Salt Lake	Kansas City Wizards	5/29/2010	85		LGE			
Grabavoy, Ned	Real Salt Lake	Real Salt Lake	Kansas City Wizards	5/29/2010	90		LGE			
Wolff, Josh	Kansas City Wizards	Real Salt Lake	Kansas City Wizards	5/29/2010	41		LGE	Arnaud, David		
Zusi, Graham	Kansas City Wizards	Kansas City Wizards	Philadephia Union	6/10/2010	35		LGE	Smith, Ryan		
Kamara, Kei	Kansas City Wizards	Kansas City Wizards	Philadephia Union	6/10/2010	8		LGE	Arnaud, David	Smith, Ryan	
Salou, Ibriahim	New York Red Bulls	Kansas City Wizards	New York Red Bulls	6/26/2010	54		LGE			
Angel, Juan Pablo	New York Red Bulls	Kansas City Wizards	New York Red Bulls	6/26/2010	81		LGE			
Angel, Juan Pablo	New York Red Bulls	Kansas City Wizards	New York Red Bulls	6/26/2010	89		LGE			
Ferreira, David Arturo	FC Dallas 96	FC Dallas 96	Kansas City Wizards	7/3/2010	58	Penalty	LGE			
Braun, Justin	CD Chivas USA	Kansas City Wizards	CD Chivas USA	7/10/2010	56		LGE			
Braun, Justin	CD Chivas USA	Kansas City Wizards	CD Chivas USA	7/10/2010	87		LGE			
Bunbury, Teal	Kansas City Wizards	Columbus Crew	Kansas City Wizards	7/14/2010	14		LGE	Smith, Ryan	Espinoza, Roger	
Casey, Conor	Colorado Rapids	Colorado Rapids	Kansas City Wizards	7/17/2010	73		LGE			
Arnaud, David	Kansas City Wizards	Colorado Rapids	Kansas City Wizards	7/17/2010	20		LGE	Roscastle, Craig		
Cameron, Geoff	Houston Dynamo	Houston Dynamo	CD Chivas USA	4/17/2010	12		LGE	Ashe, Cory	Robinson, Eddie	
Palmer, Lovel	Houston Dynamo	Houston Dynamo	CD Chivas USA	4/17/2010	20		LGE	Chabala, Mike		
Oduro, Dominic	Houston Dynamo	Houston Dynamo	CD Chivas USA	4/17/2010	64		LGE	Davis, Brad	Chabala, Mike	
Kljestan, Sacha	CD Chivas USA	CD Chivas USA	San Jose Earthquakes	4/24/2010	25		LGE	Gavin, Blair		
