Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Spencer, Matthew (Ross)	Charlotte Eagles	Charlotte Eagles	Wilmington Hammerheads	5/11/2007	86		LGE	Swinehart, Dustin		
Moore, Justin	Atlanta Silverbacks	Atlanta Silverbacks	Carolina Railhawks	5/12/2007	43		LGE	Antoniuk, Daniel		
Low, Kupono	Carolina Railhawks	Atlanta Silverbacks	Carolina Railhawks	5/12/2007	9		LGE			
Dombrowski, Chad	Carolina Railhawks	Atlanta Silverbacks	Carolina Railhawks	5/12/2007	29		LGE			
McClung, Kiel	California Victory	California Victory	Rochester Rhinos	5/12/2007	73		LGE	Retiz, Jose		
Menyongar, Johnny	Rochester Rhinos	California Victory	Rochester Rhinos	5/12/2007	5		LGE	Harrison, Chase		
Palguta, Scott	Rochester Rhinos	California Victory	Rochester Rhinos	5/12/2007	21		LGE			
Martinez, Rey Angel	Rochester Rhinos	California Victory	Rochester Rhinos	5/12/2007	79		LGE	Shirley-Black, Stephen		
Armstrong, Stephen	Charleston Battery	Charleston Battery	Miami FC	5/12/2007	29		LGE			
Alvarez, Byron	Charleston Battery	Charleston Battery	Miami FC	5/12/2007	85		LGE	Chin, Gordan		
Sarkodie, Kwame	Cincinnati Kings	Cincinnati Kings	Cleveland City Stars	5/12/2007	42		LGE	Jones, Bret (Eric)		
Codrington, Nigel	Cleveland City Stars	Cincinnati Kings	Cleveland City Stars	5/12/2007	69		LGE			
Codrington, Nigel	Cleveland City Stars	Cincinnati Kings	Cleveland City Stars	5/12/2007	72		LGE	Schulte, Mark		
Alexander, Robert (Trey)	Richmond Kickers	Crystal Palace Baltimore	Richmond Kickers	5/12/2007	90		LGE	Burke, Michael		
Alcaraz-Cuellar, Hugo	Seattle Sounders	Seattle Sounders	Vancouver Whitecaps	5/12/2007	27	Penalty	LGE			
Sebrango-Rodriguez, Eduardo	Vancouver Whitecaps	Seattle Sounders	Vancouver Whitecaps	5/12/2007	37		LGE	Kindel, Steve		
Testo, David	Vancouver Whitecaps	Seattle Sounders	Vancouver Whitecaps	5/12/2007	50		LGE	Sebrango-Rodriguez, Eduardo		
Donatelli, Tony	Vancouver Whitecaps	Seattle Sounders	Vancouver Whitecaps	5/12/2007	87		LGE	Bailey, Joel (JJ)		
Molinari, Federico	Western Mass Pioneers	Western Mass Pioneers	Harrisburg City Islanders	5/12/2007	25		LGE			
Wilson, Easton	Western Mass Pioneers	Western Mass Pioneers	Harrisburg City Islanders	5/12/2007	78		LGE	Deren, Jeff		
Gregor, Andrew	Portland Timbers	Portland Timbers	Rochester Rhinos	5/13/2007	24		LGE	Bagley, Christopher		
Griffin, Leonard	Portland Timbers	Portland Timbers	Rochester Rhinos	5/13/2007	32		LGE	Gregor, Andrew		
McGinlay, Mike	Cincinnati Kings	Cincinnati Kings	New Hampshire Phantoms	5/18/2007	3		LGE	Delgado, Noah		
McGinlay, Mike	Cincinnati Kings	Cincinnati Kings	New Hampshire Phantoms	5/18/2007	18		LGE			
McGinlay, Mike	Cincinnati Kings	Cincinnati Kings	New Hampshire Phantoms	5/18/2007	26		LGE	Delgado, Noah		
Miller, Samuel	Cincinnati Kings	Cincinnati Kings	New Hampshire Phantoms	5/18/2007	45		LGE	Delgado, Noah		
Oliveira-Filho, Crizam (Zinho)	Miami FC	Miami FC	Minnesota Thunder	5/18/2007	51		LGE			
Tarley, Duncan (Melvin)	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	5/18/2007	6		LGE			
Zapata, Alberto	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	5/18/2007	51		LGE			
Hassim, Rafique	Atlanta Silverbacks	Puerto Rico Islanders	Atlanta Silverbacks	5/18/2007	39		LGE			
Hassim, Rafique	Atlanta Silverbacks	Puerto Rico Islanders	Atlanta Silverbacks	5/18/2007	53		LGE			
McManus, Anthony (Tony)	Atlanta Silverbacks	Puerto Rico Islanders	Atlanta Silverbacks	5/18/2007	88		LGE			
Howes, Gregory	Seattle Sounders	Seattle Sounders	Rochester Rhinos	5/18/2007	58		LGE			
Menyongar, Johnny	Rochester Rhinos	Seattle Sounders	Rochester Rhinos	5/18/2007	60		LGE			
Hansen, Joshua	California Victory	California Victory	Vancouver Whitecaps	5/19/2007	13		LGE			
Sebrango-Rodriguez, Eduardo	Vancouver Whitecaps	California Victory	Vancouver Whitecaps	5/19/2007	6		LGE			
Sebrango-Rodriguez, Eduardo	Vancouver Whitecaps	California Victory	Vancouver Whitecaps	5/19/2007	10		LGE			
Cann, Adrian	Vancouver Whitecaps	California Victory	Vancouver Whitecaps	5/19/2007	69		LGE			
Low, Kupono	Carolina Railhawks	Carolina Railhawks	Charleston Battery	5/19/2007	39	Penalty	LGE			
Moffat, Adam	Cleveland City Stars	Cleveland City Stars	New Hampshire Phantoms	5/19/2007	15		LGE			
Codrington, Nigel	Cleveland City Stars	Cleveland City Stars	New Hampshire Phantoms	5/19/2007	23		LGE			
Moffat, Adam	Cleveland City Stars	Cleveland City Stars	New Hampshire Phantoms	5/19/2007	90		LGE			
Lopes, Tiago Manuel Ferreira	New Hampshire Phantoms	Cleveland City Stars	New Hampshire Phantoms	5/19/2007	54		LGE			
Fernandes, Narcisco Lima	New Hampshire Phantoms	Cleveland City Stars	New Hampshire Phantoms	5/19/2007	82		LGE			
Jaman, Nowaf	Richmond Kickers	Richmond Kickers	Charlotte Eagles	5/19/2007	74		LGE			
Oliveira-Filho, Crizam (Zinho)	Miami FC	Miami FC	Atlanta Silverbacks	5/20/2007	50		LGE			
Fraser, Sean	Miami FC	Miami FC	Atlanta Silverbacks	5/20/2007	61		LGE	Capecci, Daniel		
Antoniuk, Daniel	Atlanta Silverbacks	Miami FC	Atlanta Silverbacks	5/20/2007	7		LGE			
Palleschi, Matthew	Montreal Impact	Montreal Impact	Seattle Sounders	5/20/2007	12		LGE			
Fabro, Martin	Montreal Impact	Montreal Impact	Seattle Sounders	5/20/2007	54		LGE			
Tarley, Duncan (Melvin)	Puerto Rico Islanders	Puerto Rico Islanders	Minnesota Thunder	5/20/2007	16		LGE			
Farber, Brian	Minnesota Thunder	Puerto Rico Islanders	Minnesota Thunder	5/20/2007	35		LGE			
Gibson, Leo	Minnesota Thunder	Puerto Rico Islanders	Minnesota Thunder	5/20/2007	73		LGE			
Gjertsen, Joseph (Joey)	Vancouver Whitecaps	Vancouver Whitecaps	Rochester Rhinos	5/20/2007	39		LGE			
Alberts, James (Jay)	Vancouver Whitecaps	Vancouver Whitecaps	Rochester Rhinos	5/20/2007	70		LGE			
Sebrango-Rodriguez, Eduardo	Vancouver Whitecaps	Vancouver Whitecaps	Rochester Rhinos	5/20/2007	82		LGE			
Menyongar, Johnny	Rochester Rhinos	Vancouver Whitecaps	Rochester Rhinos	5/20/2007	67	Penalty	LGE			
Le Toux, Sebastian	Seattle Sounders	Seattle Sounders	Carolina Railhawks	5/23/2007	57		LGE			
Horne, David	Cincinnati Kings	Cincinnati Kings	Wilmington Hammerheads	5/24/2007	87		LGE	McGinlay, Mike		
Jones, Bret (Eric)	Cincinnati Kings	Cincinnati Kings	Wilmington Hammerheads	5/24/2007	90		LGE			
MacKenzie, Ross	Wilmington Hammerheads	Cincinnati Kings	Wilmington Hammerheads	5/24/2007	75		LGE	Smith, Andrew		
Holmes, Jamie	Wilmington Hammerheads	Cincinnati Kings	Wilmington Hammerheads	5/24/2007	79		LGE	MacKenzie, Ross		
Flores, Sergio	Crystal Palace Baltimore	Wilmington Hammerheads	Crystal Palace Baltimore	5/19/2007	11		LGE			
Marshall, Andrew	Crystal Palace Baltimore	Wilmington Hammerheads	Crystal Palace Baltimore	5/19/2007	48		LGE			
Alcala, Joshua	Crystal Palace Baltimore	Wilmington Hammerheads	Crystal Palace Baltimore	5/19/2007	90		LGE			
Gbeke, Charles	Montreal Impact	Montreal Impact	Miami FC	5/25/2007	37		LGE	Di Lorenzo, Leonardo		
Thompson, Scot	Portland Timbers	Portland Timbers	California Victory	5/25/2007	10		LGE	Jordan, Bryan		
Jordan, Bryan	Portland Timbers	Portland Timbers	California Victory	5/25/2007	55		LGE			
Edozien, Connally	Carolina Railhawks	Vancouver Whitecaps	Carolina Railhawks	5/25/2007	57		LGE			
Molinari, Federico	Western Mass Pioneers	Western Mass Pioneers	Charlotte Eagles	5/25/2007	45		LGE	Augustine, Anthony		
Coggins, Jacob	Charlotte Eagles	Western Mass Pioneers	Charlotte Eagles	5/25/2007	12		LGE			
Hansen, Joshua	California Victory	California Victory	Seattle Sounders	5/26/2007	51	Penalty	LGE			
Howes, Gregory	Seattle Sounders	California Victory	Seattle Sounders	5/26/2007	1		LGE	Besagno, Jacob		
Levesque, Roger	Seattle Sounders	California Victory	Seattle Sounders	5/26/2007	70		LGE	Le Toux, Sebastian		
Alvarez, Byron	Charleston Battery	Charleston Battery	Atlanta Silverbacks	5/26/2007	35		LGE	Armstrong, Stephen		
Fuller, Ian	Charleston Battery	Charleston Battery	Atlanta Silverbacks	5/26/2007	51		LGE	Corcoran, Christopher		
Paye, Aaron	Minnesota Thunder	Minnesota Thunder	Puerto Rico Islanders	5/26/2007	9		LGE	Alvino, Terry		
Delgado, Noah	Puerto Rico Islanders	Minnesota Thunder	Puerto Rico Islanders	5/26/2007	45		LGE	Zapata, Alberto		
Delgado, Noah	Puerto Rico Islanders	Minnesota Thunder	Puerto Rico Islanders	5/26/2007	88		LGE	Villagas-Espana, Petter		
Fernandes, Narcisco Lima	New Hampshire Phantoms	New Hampshire Phantoms	Charlotte Eagles	5/26/2007	83		LGE	McNeil, Thomas		
Barbosa, Almir	New Hampshire Phantoms	New Hampshire Phantoms	Charlotte Eagles	5/26/2007	90	Penalty	LGE			
Harvey, Daniel	Charlotte Eagles	New Hampshire Phantoms	Charlotte Eagles	5/26/2007	30		LGE	Coggins, Jacob		
Coggins, Jacob	Charlotte Eagles	New Hampshire Phantoms	Charlotte Eagles	5/26/2007	36		LGE	Harvey, Daniel		
Coggins, Jacob	Charlotte Eagles	New Hampshire Phantoms	Charlotte Eagles	5/26/2007	65		LGE			
Bulow, David	Richmond Kickers	Richmond Kickers	Crystal Palace Baltimore	5/26/2007	38		LGE	Gorres, Sascha		
Mbuta, Matthew Andongcho	Crystal Palace Baltimore	Richmond Kickers	Crystal Palace Baltimore	5/26/2007	75		LGE			
Delicate, Matthew	Rochester Rhinos	Rochester Rhinos	Miami FC	5/27/2007	16		LGE	Ambersley, Michael		
Delicate, Matthew	Rochester Rhinos	Rochester Rhinos	Miami FC	5/27/2007	61		LGE	Menyongar, Johnny		
Morales, Yuri	California Victory	California Victory	Charleston Battery	5/30/2007	45		LGE	Sanchez, Ricardo		
Armstrong, Stephen	Charleston Battery	California Victory	Charleston Battery	5/30/2007	40		LGE	Alavanja, Lazo		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	6/1/2007	8		LGE	Herrera, Jorge		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	6/1/2007	18		LGE	Herrera, Jorge		
Harvey, Daniel	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	6/1/2007	46		LGE	Shak, Steve		
Johnson, Benjamin	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	6/1/2007	61		LGE	Swinehart, Dustin		
Herrera, Jorge	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	6/1/2007	90		LGE	Shak, Steve		
Sarkodie, Kwame	Cincinnati Kings	Charlotte Eagles	Cincinnati Kings	6/1/2007	14		LGE	Cheurlin, Romain		
Sarkodie, Kwame	Cincinnati Kings	Charlotte Eagles	Cincinnati Kings	6/1/2007	48		LGE			
Miller, Samuel	Cincinnati Kings	Charlotte Eagles	Cincinnati Kings	6/1/2007	50		LGE			
Ambersley, Michael	Rochester Rhinos	Miami FC	Rochester Rhinos	6/1/2007	24		LGE			
McManus, Anthony (Tony)	Atlanta Silverbacks	Atlanta Silverbacks	Miami FC	6/2/2007	31		LGE	Moore, Justin		
FelicianoDeOliveir, JulioCesar	Miami FC	Atlanta Silverbacks	Miami FC	6/2/2007	73		LGE	Oliveira-Filho, Crizam (Zinho)		
