									
									



	1	2010-03-27	A	San Jose	3-0	W	1-0-0	Morales 1 (Espindola 1, Findley 1) 14; Espindola 1 (Morales 1) 27; Morales 2 (free kick) 54	Nick Rimando, Chris Wingert, Jamison Olave, Nat Borchers (Rauwshan McKenzie 63), Robbie Russell, Ned Grabavoy (Andy Williams 64), Javier Morales, Kyle Beckerman, Will Johnson, Fabian Espindola (Alvaro Saborio 72), Robbie Findley
	2	2010-04-01	A	Houston	1-2	L	1-1-0	Morales 3 (Saborio 1, Beckerman 1) 18	Nick Rimando, Chris Wingert, Jamison Olave, Nat Borchers, Robbie Russell, Ned Grabavoy (Andy Williams 67), Javier Morales, Kyle Beckerman, Will Johnson (Nelson Gonzalez 75), Fabian Espindola, Alvaro Saborio (Robbie Findley 60)
	3	2010-04-10	H	Seattle	2-2	D	1-1-1	Johnson 1 (Russell 1, Findley 2) 53; Saborio 1 (Gonzalez 1) 93+	Nick Rimando, Chris Wingert, Jamison Olave, Nat Borchers, Robbie Russell, Ned Grabavoy (Nelson Gonzalez 46), Javier Morales (Andy Williams 39), Kyle Beckerman, Will Johnson, Fabian Espindola, Robbie Findley (Alvaro Saborio 78)

	4	2010-04-17	A	Los Angeles	1-2	L	1-2-1	Beckerman 1 (unassisted) 41	Nick Rimando, Tony Beltran, Jamison Olave, Nat Borchers, Robbie Russell, Nelson Gonzalez (Collen Warner 64), Andy Williams, Kyle Beckerman, Will Johnson, Fabian Espindola (Robbie Findley 59), Alvaro Saborio (Pablo Campos 81)
	5	2010-04-24	A	Columbus	0-1	L	1-3-1		Nick Rimando, Tony Beltran (Nelson Gonzalez 77), Jamison Olave, Nat Borchers, Robbie Russell, Collen Warner (Javier Morales 62), Andy Williams, Kyle Beckerman, Will Johnson, Fabian Espindola (Robbie Findley 62), Alvaro Saborio
	6	2010-05-01	H	Toronto	2-1	W	2-3-1	Olave 1 (Saborio 2, Williams 1) 14; Williams 1 (Beltran 1) 42	Nick Rimando, Robbie Russell (Chris Wingert 70), Nat Borchers, Jamison Olave, Tony Beltran, Collen Warner (Nelson Gonzalez 86), Kyle Beckerman, Andy Williams (Jean Alexandre 89), Will Johnson, Alvaro Saborio, Robbie Findley
	7	2010-05-08	H	Philadelphia	3-0	W	3-3-1	Beckerman 2 (unassisted) 27; Olave 2 (Morales 2) 51; Saborio 2 (Campos 1) 70	Nick Rimando, Tony Beltran, Jamison Olave (Rauwshan McKenzie 73), Nat Borchers, Chris Wingert, Andy Williams (Collen Warner 79), Kyle Beckerman, Javier Morales, Will Johnson, Alvaro Saborio, Robbie Findley (Pablo Campos 38).
	8	2010-05-13	H	Houston	3-1	W	4-3-1	Findley 1 (Beckerman 2) 3; Saborio 3 (Morales 3) 24; Saborio 4 (Morales 4) 60	Nick Rimando, Robbie Russell, Jamison Olave, Nat Borchers, Chris Wingert, Andy Williams (Jean Alexandre 69), Kyle Beckerman, Javier Morales, Will Johnson, Alvaro Saborio (Pablo Campos 79), Robbie Findley (Collen Warner 88). 
	9	2010-05-22	A	Chivas USA	2-1	W	5-3-1	Wingert 1 (unassisted) 46+; Espindola 2 (Saborio 3, Williams 2) 89	Nick Rimando, Robbie Russell, Jamison Olave, Nat Borchers, Chris Wingert, Andy Williams, Kyle Beckerman (Jean Alexandre 24), Javier Morales, Ned Grabavoy, Alvaro Saborio (Nelson Gonzalez 89), Pablo Campos (Fabian Espindola 78).
	10	2010-05-29	H	Kansas City	4-1	W	6-3-1	Espindola 3 (Williams 3, Saborio 4) 31; Saborio 5 (unassisted) 34; Russell 1 (unassisted) 84; Grabavoy 1 (unassisted) 92+	Nick Rimando, Tony Beltran, Nat Borchers, Jamison Olave, Chris Wingert (Robbie Russell 46), Andy Williams (Ned Grabavoy 46), Javier Morales, Jean Alexandre, Will Johnson, Alvaro Saborio, Fabian Espindola (Pablo Campos 88).

	11	2010-06-05	A	DC United	0-0	D	6-3-2		Nick Rimando, Tony Beltran, Jamison Olave, Nat Borchers, Robbie Russell, Collen Warner (Andy Williams 61), Jean Alexandre (Ned Grabavoy 46), Javier Morales, Will Johnson, Fabian Espindola, Alvaro Saborio (Pablo Campos 84)
	12	2010-06-09	H	Los Angeles	1-0	W	7-3-2	Morales 4 (unassisted) 80	Nick Rimando, Robbie Russell, Jamison Olave, Nat Borchers, Tony Beltran (Chris Wingert 60), Andy Williams (Collen Warner 78), Ned Grabavoy, Javier Morales, Will Johnson, Alvaro Saborio, Fabian Espindola (Pablo Campos 64).
	13	2010-06-25	H	San Jose	0-0	D	7-3-3		Nick Rimando, Chris Wingert, Jamison Olave, Nat Borchers, Robbie Russell, Andy Williams, Javier Morales, Ned Grabavoy (Collen Warner 73), Will Johnson (Jean Alexandre 89), Fabian Espindola, Alvaro Saborio (Pablo Campos 60)
	14	2010-07-02	H	New England	5-0	W	8-3-3	Espindola 4 (Russell 2) 27; Olave 3 (Morales 5) 47+; Saborio 6 (Russell 3, Johnson 1) 52; Saborio 7 (Morales 6) 57; Findley 2 (unassisted) 85	Nick Rimando, Robbie Russell, Nat Borchers, Jamison Olave, Chris Wingert, Andy Williams, Ned Grabavoy, Javier Morales (Collen Warner 72), Will Johnson (Jean Alexandre 61), Alvaro Saborio, Fabian Espindola (Robbie Findley 46)
	15	2010-07-08	A	Chicago	1-0	W	9-3-3	Findley 3 (penalty kick) 40	Nick Rimando, Robbie Russell, Jamison Olave, Nat Borchers, Chris Wingert, Andy Williams (Jean Alexandre 76), Ned Grabavoy, Javier Morales, Will Johnson, Alvaro Saborio (Tony Beltran 84), Robbie Findley (Fabian Espindola 58)
	16	2010-07-17	A	Dallas	0-2	L	9-4-3		Nick Rimando, Robbie Russell, Jamison Olave, Nat Borchers, Chris Wingert, Jean Alexandre (Alvaro Saborio 61), Javier Morales, Fabian Espindola, Ned Grabavoy, Will Johnson (Collen Warner 81), Robbie Findley (Andy Williams 61).
	17	2010-07-24	H	Chivas USA	1-1	D	9-4-4	Grabavoy 2 (unassisted) 66	Nick Rimando, Tony Beltran, Nat Borchers, Jamison Olave, Chris Wingert, Andy Williams, Kyle Beckerman (Ned Grabavoy 62), Javier Morales, Will Johnson, Alvaro Saborio (Pablo Campos 83), Fabian Espindola (Robbie Findley 68).
	18	2010-07-31	H	DC United	3-0	W	10-4-4	Saborio 8 (Grabavoy 1, Findley 3) 13; Findley 4 (Williams 4) 79; Gonzalez 1 (Williams 5) 94+	Nick Rimando, Robbie Russell, Nat Borchers, Jamison Olave, Chris Wingert, Ned Grabavoy (Nelson Gonzalez 88), Kyle Beckerman, Javier Morales (Andy Williams 71), Will Johnson, Robbie Findley, Alvaro Saborio (Jean Alexandre 82).
