Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Watson, Matthew	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	20		LGE	Burke, Michael		
Ssejjemba, Robert	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	67		LGE			
Carrieri, Chris	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	74		LGE	Brown, Tim		
Neagu, Christian	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	75		LGE	Ssejjemba, Robert		
Neagu, Christian	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	90		LGE	Dutt, Eric		
Rus, Cristian	Southern California Seahorses	Southern California Seahorses	California Gold	5/6/2006	50		LGE	Hansen, Josh		
Rus, Cristian	Southern California Seahorses	Southern California Seahorses	California Gold	5/6/2006	65		LGE	Hansen, Josh		
Hansen, Josh	Southern California Seahorses	Southern California Seahorses	California Gold	5/6/2006	68	Penalty	LGE			
Thornton, Jared (Jet)	Southern California Seahorses	Southern California Seahorses	California Gold	5/6/2006	79		LGE	Arias, Jordan		
Davies, Charlie	Westchester Flames	Westchester Flames	Rhode Island Stingrays	5/6/2006	10		LGE	Altcheck, Charles		
Stamatis, John	Westchester Flames	Westchester Flames	Rhode Island Stingrays	5/6/2006	17		LGE			
Davies, Charlie	Westchester Flames	Westchester Flames	Rhode Island Stingrays	5/6/2006	88		LGE	Meyer, Kevin		
Borman, Danleigh	Rhode Island Stingrays	Westchester Flames	Rhode Island Stingrays	5/6/2006	83		LGE	Howarth, Adam		
Mertens, Cameron	Yakima Reds	Yakima Reds	Cascade Surge	5/6/2006	58		LGE	Fauske, Elliott		
Fauske, Elliott	Yakima Reds	Yakima Reds	Cascade Surge	5/6/2006	66		LGE	Lopez, Jorge		
Davis, Kenneth	Cascade Surge	Yakima Reds	Cascade Surge	5/6/2006	11		LGE			
Armstrong, Stephen	Charleston Battery	Charleston Battery	Miami FC	5/7/2006	90	Penalty	LGE			
Sandoval, Fabian	Miami FC	Charleston Battery	Miami FC	5/7/2006	69		LGE	Oliveira-Filho, Crizam (Zinho)		
Macias, Jorge	San Diego Gauchos	San Diego Gauchos	Bakersfield Brigade	5/7/2006	5	Penalty	LGE			
Gookins, Kyle	Bakersfield Brigade	San Diego Gauchos	Bakersfield Brigade	5/7/2006	11		LGE	Manda, Towa		
Gookins, Kyle	Bakersfield Brigade	San Diego Gauchos	Bakersfield Brigade	5/7/2006	20	Penalty	LGE			
Solorzano, Johnathon	Bakersfield Brigade	San Diego Gauchos	Bakersfield Brigade	5/7/2006	86		LGE			
Rivera, Raul	Fresno Fuego	Fresno Fuego	San Francisco Seals	5/6/2006	20		LGE	Codeceira-Lopes, Fabricio		
Rivera, Raul	Fresno Fuego	Fresno Fuego	San Francisco Seals	5/6/2006	40		LGE			
Diaz, Jose	San Francisco Seals	Fresno Fuego	San Francisco Seals	5/6/2006	50		LGE	Carson, John		
Colan, John	San Francisco Seals	Fresno Fuego	San Francisco Seals	5/6/2006	60		LGE			
Milojevich, Jovan	San Francisco Seals	Fresno Fuego	San Francisco Seals	5/6/2006	70		LGE			
Halmilton, Anthony	Orange County Blue Star	Orange County Blue Star	California Gold	5/5/2006	16		LGE	Meissner, Kevin		
Theslof, Tyler	Orange County Blue Star	Orange County Blue Star	California Gold	5/5/2006	18		LGE	Halmilton, Anthony		
Valdez, Ryan	Orange County Blue Star	Orange County Blue Star	California Gold	5/5/2006	32		LGE			
Pelton, Greg	California Gold	Orange County Blue Star	California Gold	5/5/2006	77		LGE	Mohseni, Weiss		
Boracic, Berin	Ajax Orlando Prospects	Ajax Orlando Prospects	Bradenton Academics	5/6/2006	57		LGE			
Boracic, Berin	Ajax Orlando Prospects	Ajax Orlando Prospects	Bradenton Academics	5/6/2006	80		LGE			
Smith, Karter	Bradenton Academics	Ajax Orlando Prospects	Bradenton Academics	5/6/2006	35		LGE			
West, Hunter	Bradenton Academics	Ajax Orlando Prospects	Bradenton Academics	5/6/2006	58		LGE			
Gonzalez, Miguel	Bradenton Academics	Ajax Orlando Prospects	Bradenton Academics	5/6/2006	67		LGE			
Ardon, Daniel	Los Angeles Storm	San Fernando Quakes	Los Angeles Storm	5/6/2006	90		LGE			
Barber, Sasha	Central Florida Kraze	Ajax Orlando Prospects	Central Florida Kraze	5/9/2006	63		LGE			
Gonzalez, Miguel	Bradenton Academics	Bradenton Academics	Carolina Dynamo	5/11/2006	54		LGE	Choi, Daniel		
Nam, Seung (Tak)	Bradenton Academics	Bradenton Academics	Carolina Dynamo	5/11/2006	49	Penalty	LGE			
Thompson, Thomas	Carolina Dynamo	Bradenton Academics	Carolina Dynamo	5/11/2006	11		LGE	Rose, Michael		
Roberts, Darryl	Carolina Dynamo	Bradenton Academics	Carolina Dynamo	5/11/2006	18		LGE	Rose, Michael		
Roberts, Darryl	Carolina Dynamo	Bradenton Academics	Carolina Dynamo	5/11/2006	64		LGE			
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Richmond Kickers	5/12/2006	73	Penalty	LGE			
Ssejjemba, Robert	Richmond Kickers	Charlotte Eagles	Richmond Kickers	5/12/2006	31		LGE	Burke, Michael		
Ssejjemba, Robert	Richmond Kickers	Charlotte Eagles	Richmond Kickers	5/12/2006	45		LGE	Carrieri, Chris		
Watson, Matthew	Richmond Kickers	Charlotte Eagles	Richmond Kickers	5/12/2006	53		LGE	Carrieri, Chris		
Knight, Kevin	Richmond Kickers	Charlotte Eagles	Richmond Kickers	5/12/2006	55		LGE	Burke, Michael		
Ybarra, Daniel	Los Angeles Storm	Los Angeles Storm	Fresno Fuego	5/12/2006	40		LGE	Carlson, Stephen		
Niemeyer, David	Los Angeles Storm	Los Angeles Storm	Fresno Fuego	5/12/2006	3		LGE	Souza, Diego		
Smalls, Lawrence	Los Angeles Storm	Los Angeles Storm	Fresno Fuego	5/12/2006	48		LGE	Niemeyer, David		
Niemeyer, David	Los Angeles Storm	Los Angeles Storm	Fresno Fuego	5/12/2006	63		LGE			
De Souza-Farias, Romario	Miami FC	Miami FC	Portland Timbers	5/12/2006	13		LGE	Rodriguez, Mario Rafael		
Fraser, Sean	Miami FC	Miami FC	Portland Timbers	5/12/2006	51		LGE	Jean-Jacques, Jamil		
De Souza-Farias, Romario	Miami FC	Miami FC	Portland Timbers	5/12/2006	89		LGE	Gil-Alzate, Oscar		
Chisoni, Mubarike (Mamba)	Portland Timbers	Miami FC	Portland Timbers	5/12/2006	7		LGE			
Alcaraz-Cueller, Hugo	Portland Timbers	Miami FC	Portland Timbers	5/12/2006	86	Penalty	LGE			
Patterson, Randi	Carolina Dynamo	Central Florida Kraze	Carolina Dynamo	5/13/2006	57		LGE	Jones, Scott		
Roberts, Darryl	Carolina Dynamo	Central Florida Kraze	Carolina Dynamo	5/13/2006	88		LGE			
Hollingsworth, Ben	Charleston Battery	Charleston Battery	Montreal Impact	5/13/2006	39	Penalty	LGE			
Daley, Omar	Charleston Battery	Charleston Battery	Montreal Impact	5/13/2006	60		LGE	Hollingsworth, Ben		
Glinton, Gavin	Charleston Battery	Charleston Battery	Montreal Impact	5/13/2006	81		LGE	Armstrong, Stephen		
Antoniuk, Daniel (Dizzy)	Montreal Impact	Charleston Battery	Montreal Impact	5/13/2006	71		LGE			
Vallejo-Medina, Hector	Laredo Heat	Laredo Heat	DFW Tornados	5/13/2006	40		LGE	Sanchez, Jesus		
