Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Gailey, Mike	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	71		LGE			
Kinoshita, Kei	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	74		LGE	Gailey, Mike		
Gailey, Mike	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	77		LGE			
Hoggan, David	Seattle Sounders	Seattle Sounders	Atlanta Ruckus	6/8/1997	86		LGE	Enneking, Mike		
Berbari, Luis	Nashville Metros	Nashville Metros	Atlanta Ruckus	6/13/1997	33		LGE	Dahlal, Mourat		
Mitchell, Jamal	Nashville Metros	Nashville Metros	Atlanta Ruckus	6/13/1997	67		LGE	Berbari, Luis		
Silva, Jacenir	Atlanta Ruckus	Atlanta Ruckus	New Orleans Riverboat Gamblers	6/20/1997	89		LGE			
Owens, William (Billy)	New Orleans Riverboat Gamblers	Atlanta Ruckus	New Orleans Riverboat Gamblers	6/20/1997	1		LGE			
John, Stern	New Orleans Riverboat Gamblers	Atlanta Ruckus	New Orleans Riverboat Gamblers	6/20/1997	66		LGE			
John, Stern	New Orleans Riverboat Gamblers	New Orleans Riverboat Gamblers	Atlanta Ruckus	6/21/1997	2		LGE	Benjamin, Glenn		
Trotman, Mickey	New Orleans Riverboat Gamblers	New Orleans Riverboat Gamblers	Atlanta Ruckus	6/21/1997	40		LGE			
Owens, William (Billy)	New Orleans Riverboat Gamblers	New Orleans Riverboat Gamblers	Atlanta Ruckus	6/21/1997	57		LGE	Trotman, Mickey		
Baena, Mark	California Jaguars	California Jaguars	Seattle Sounders	5/4/1997	16		LGE	Louis, Richie		
Watson, Jerome	California Jaguars	California Jaguars	Seattle Sounders	5/4/1997	34		LGE	Baena, Mark		
Watson, Jerome	California Jaguars	California Jaguars	Seattle Sounders	5/4/1997	86		LGE			
Gailey, Mike	Seattle Sounders	California Jaguars	Seattle Sounders	5/4/1997	5		LGE			
Baena, Mark	California Jaguars	California Jaguars	Colorado Foxes	5/18/1997	24		LGE	Rullo, Steve		
Louis, Richie	California Jaguars	California Jaguars	Colorado Foxes	5/18/1997	39		LGE	Rullo, Steve		
Baena, Mark	California Jaguars	California Jaguars	Colorado Foxes	5/18/1997	80		LGE	Watson, Jerome		
Leal-Gustavo, Oscar	Orange County Zodiac	Orange County Zodiac	California Jaguars	5/21/1997	20		LGE	Farias, Carlos		
Mingo, Alex	Orange County Zodiac	Orange County Zodiac	California Jaguars	5/21/1997	87		LGE	Farias, Carlos		
Gomez, Javier (Francisco)	California Jaguars	Orange County Zodiac	California Jaguars	5/21/1997	77		LGE	Watson, Jerome		
Robertson, Ralph	California Jaguars	El Paso Patriots	California Jaguars	5/23/1997	95		LGE	Ibsen, Zak		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	5/25/1997	37		LGE	Paule, Ross		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	5/25/1997	44		LGE	Guthrie, Rivers		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	5/25/1997	48		LGE	Wescott, Sterling		
Watson, Jerome	California Jaguars	Colorado Foxes	California Jaguars	5/25/1997	24		LGE	Ibsen, Zak		
Baena, Mark	California Jaguars	Colorado Foxes	California Jaguars	5/25/1997	32		LGE	Mann, Randy		
Blanchard, Ricardo (Ricky)	New Orleans Riverboat Gamblers	California Jaguars	New Orleans Riverboat Gamblers	5/30/1997	6		LGE	John, Stern		
John, Stern	New Orleans Riverboat Gamblers	California Jaguars	New Orleans Riverboat Gamblers	5/30/1997	67		LGE	Trotman, Mickey		
Trotman, Mickey	New Orleans Riverboat Gamblers	California Jaguars	New Orleans Riverboat Gamblers	5/30/1997	71		LGE			
Ukrop, Rob	Richmond Kickers	Richmond Kickers	Raleigh Flyers	4/25/1997	81		LGE	Fox, Chris		
Castillo, Juan	Charleston Battery	Charleston Battery	Worcester Wildfire	4/25/1997	6		LGE			
Carithers, Chad	Charleston Battery	Charleston Battery	Worcester Wildfire	4/25/1997	13		LGE	St. Louis, Terry		
Klein, Stephen	Worcester Wildfire	Charleston Battery	Worcester Wildfire	4/25/1997	36		LGE			
Magee, Amos	Minnesota Thunder	Orlando Sundogs	Minnesota Thunder	4/25/1997	62		LGE	Gramenz, Don		
Hamid, Ayman	Carolina Dynamo	Carolina Dynamo	Hershey Wildcats	4/25/1997	80		LGE	Atta, Maher		
D'Ambra, Don	Hershey Wildcats	Carolina Dynamo	Hershey Wildcats	4/25/1997	4		LGE			
Leal-Gustavo, Oscar	Orange County Zodiac	Orange County Zodiac	Vancouver 86ers	4/25/1997	44		LGE			
Kindel, Steve	Vancouver 86ers	Orange County Zodiac	Vancouver 86ers	4/25/1997	17		LGE			
Mobilio, Domenic	Vancouver 86ers	Orange County Zodiac	Vancouver 86ers	4/25/1997	86		LGE			
Pinto, Nelson	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	6/25/1997	13		LGE	McCreath, Anthony		
Patterson, Steve	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	6/25/1997	15		LGE	Guthrie, Rivers		
Dunlap, Chris	Atlanta Ruckus	Colorado Foxes	Atlanta Ruckus	6/25/1997	30		LGE			
Dalombo, Omar	El Paso Patriots	El Paso Patriots	Atlanta Ruckus	6/27/1997	50		LGE	Bautista, Arturo		
Greenwood, Ricci	El Paso Patriots	El Paso Patriots	Atlanta Ruckus	6/27/1997	69		LGE	Dalombo, Omar		
Dedmond, Tony	El Paso Patriots	El Paso Patriots	Atlanta Ruckus	6/27/1997	86		LGE			
Silva, Jacenir	Atlanta Ruckus	El Paso Patriots	Atlanta Ruckus	6/27/1997	20		LGE	Roberto, Marcos		
Fashanu, Justin	Atlanta Ruckus	El Paso Patriots	Atlanta Ruckus	6/27/1997	88		LGE			
Shishkov, Stilian	Atlanta Ruckus	Atlanta Ruckus	Orange County Zodiac	7/4/1997	37		LGE	El-Shami, Fashmi		
Roberto, Marcos	Atlanta Ruckus	Atlanta Ruckus	Orange County Zodiac	7/4/1997	43		LGE	Silva, Jacenir		
Silva, Jacenir	Atlanta Ruckus	Atlanta Ruckus	Orange County Zodiac	7/4/1997	54		LGE	Roberto, Marcos		
Shishkov, Stilian	Atlanta Ruckus	Atlanta Ruckus	Orange County Zodiac	7/4/1997	59		LGE	Bigu		
Leal-Gustavo, Oscar	Orange County Zodiac	Atlanta Ruckus	Orange County Zodiac	7/4/1997	76		LGE	Macedo, Danny		
Leal-Gustavo, Oscar	Orange County Zodiac	Atlanta Ruckus	Orange County Zodiac	7/4/1997	85		LGE			
Ayegbaroju, Adeola	Atlanta Ruckus	Atlanta Ruckus	Carolina Dynamo	7/12/1997	46		LGE	Silva, Jacenir		
Sharpe, Richard	Carolina Dynamo	Atlanta Ruckus	Carolina Dynamo	7/12/1997	5		LGE	Ball, John		
Loftin, Brian	Carolina Dynamo	Atlanta Ruckus	Carolina Dynamo	7/12/1997	34		LGE			
Dusosky, Todd	Minnesota Thunder	Minnesota Thunder	Atlanta Ruckus	7/14/1997	90		LGE	Sylvester, John		
Coughlin, John	Minnesota Thunder	Minnesota Thunder	Atlanta Ruckus	7/14/1997	102		LGE	Abboud, Mark		
El-Shami, Fashmi	Atlanta Ruckus	Minnesota Thunder	Atlanta Ruckus	7/14/1997	69		LGE	Rodrigues, Andre		
Obario, Emmanuel	Atlanta Ruckus	Atlanta Ruckus	Orlando Sundogs	7/27/1997	12		LGE	Crane, Brian		
Suri, Mo	Atlanta Ruckus	Atlanta Ruckus	Orlando Sundogs	7/27/1997	20		LGE	Obario, Emmanuel		
Suri, Mo	Atlanta Ruckus	Atlanta Ruckus	Orlando Sundogs	7/27/1997	85		LGE			
Bigu	Atlanta Ruckus	Atlanta Ruckus	Orlando Sundogs	7/27/1997	89		LGE			
Ayegbaroju, Adeola	Atlanta Ruckus	Atlanta Ruckus	Charleston Battery	8/1/1997	26		LGE	Suri, Mo		
Sloniewski, Michael	Orlando Sundogs	Orlando Sundogs	Atlanta Ruckus	8/2/1997	15		LGE			
Riegler, Jason	Orlando Sundogs	Orlando Sundogs	Atlanta Ruckus	8/2/1997	69		LGE	Barnes, Sebastian		
Silva, Jacenir	Atlanta Ruckus	Orlando Sundogs	Atlanta Ruckus	8/2/1997	80		LGE	Vivanco, Javier		
Ayegbaroju, Adeola	Atlanta Ruckus	Orlando Sundogs	Atlanta Ruckus	8/2/1997	88		LGE			
Robles, Michael	Orange County Zodiac	Orange County Zodiac	Atlanta Ruckus	8/8/1997	42		LGE			
Leal-Gustavo, Oscar	Orange County Zodiac	Orange County Zodiac	Atlanta Ruckus	8/8/1997	58		LGE	Jones, John		
Leal-Gustavo, Oscar	Orange County Zodiac	Orange County Zodiac	Atlanta Ruckus	8/8/1997	100		LGE	Rodriguez, Ricky		
Bigu	Atlanta Ruckus	Orange County Zodiac	Atlanta Ruckus	8/8/1997	80		LGE			
Roberto, Marcos	Atlanta Ruckus	Orange County Zodiac	Atlanta Ruckus	8/8/1997	82	Penalty	LGE			
Holocher, Paul	California Jaguars	California Jaguars	Atlanta Ruckus	8/10/1997	62		LGE			
Louis, Richie	California Jaguars	California Jaguars	Atlanta Ruckus	8/10/1997	85		LGE	Holocher, Paul		
Suri, Mo	Atlanta Ruckus	California Jaguars	Atlanta Ruckus	8/10/1997	19		LGE			
Hughes, Waughn	Jacksonville Cyclones	Jacksonville Cyclones	Atlanta Ruckus	8/16/1997	45		LGE	Ortiz, Oswaldo		
Roberto, Marcos	Atlanta Ruckus	Jacksonville Cyclones	Atlanta Ruckus	8/16/1997	15		LGE	Suri, Mo		
Jacinto, Jacenir	Atlanta Ruckus	Jacksonville Cyclones	Atlanta Ruckus	8/16/1997	95		LGE			
Mitchell, Jamal	Nashville Metros	Atlanta Ruckus	Nashville Metros	8/22/1997	80		LGE			
Siers, Dave	Milwaukee Rampage	Milwaukee Rampage	California Jaguars	6/6/1997	26		LGE			
Baena, Mark	California Jaguars	Milwaukee Rampage	California Jaguars	6/6/1997	23		LGE	Mann, Randy		
Robertson, Ralph	California Jaguars	Milwaukee Rampage	California Jaguars	6/6/1997	69		LGE			
Gomez, Javier (Francisco)	California Jaguars	Minnesota Thunder	California Jaguars	6/8/1997	34		LGE	Louis, Richie		
Mann, Randy	California Jaguars	California Jaguars	Milwaukee Rampage	6/20/1997	46		LGE			
Baena, Mark	California Jaguars	California Jaguars	Milwaukee Rampage	6/20/1997	48		LGE	Louis, Richie		
Baena, Mark	California Jaguars	California Jaguars	Milwaukee Rampage	6/20/1997	52		LGE	Mann, Randy		
Hoggan, David	Seattle Sounders	Seattle Sounders	California Jaguars	6/27/1997	34		LGE	Gailey, Mike		
Gailey, Mike	Seattle Sounders	Seattle Sounders	California Jaguars	6/27/1997	49		LGE	Hoggan, David		
Baena, Mark	California Jaguars	California Jaguars	Nashville Metros	6/29/1997	9		LGE	Holocher, Paul		
Baena, Mark	California Jaguars	California Jaguars	Nashville Metros	6/29/1997	42		LGE	Mann, Randy		
Watson, Jerome	California Jaguars	California Jaguars	Nashville Metros	6/29/1997	52		LGE	Holocher, Paul		
Berbari, Luis	Nashville Metros	California Jaguars	Nashville Metros	6/29/1997	6		LGE	Dahlal, Mourat		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	7/3/1997	6		LGE	Ashton, Chad		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	7/3/1997	52		LGE	McCreath, Anthony		
Patterson, Steve	Colorado Foxes	Colorado Foxes	California Jaguars	7/3/1997	88		LGE	Nunley, Andre		
Baena, Mark	California Jaguars	Colorado Foxes	California Jaguars	7/3/1997	73		LGE	Mann, Randy		
Muirhead, Doug	Vancouver 86ers	Vancouver 86ers	California Jaguars	7/9/1997	74	Penalty	LGE			
Evans, Chris	Vancouver 86ers	Vancouver 86ers	California Jaguars	7/9/1997	80	Penalty	LGE			
Baena, Mark	California Jaguars	California Jaguars	Colorado Foxes	7/11/1997	3		LGE			
Watson, Jerome	California Jaguars	California Jaguars	Colorado Foxes	7/11/1997	17		LGE	Robertson, Ralph		
Watson, Jerome	California Jaguars	California Jaguars	Minnesota Thunder	7/25/1997	64		LGE			
Watson, Jerome	California Jaguars	California Jaguars	Minnesota Thunder	7/25/1997	68		LGE			
Baena, Mark	California Jaguars	California Jaguars	Minnesota Thunder	7/25/1997	80		LGE			
Holocher, Paul	California Jaguars	California Jaguars	Orange County Zodiac	8/1/1997	13		LGE	Baena, Mark		
Guerrero, Juan	Orange County Zodiac	California Jaguars	Orange County Zodiac	8/1/1997	27		LGE			
Perez, Orlando	Orange County Zodiac	California Jaguars	Orange County Zodiac	8/1/1997	65	Penalty	LGE			
Leal-Gustavo, Oscar	Orange County Zodiac	California Jaguars	Orange County Zodiac	8/1/1997	82		LGE	Arana, Gerardo		
