
	29	2005-10-01	A	Los Angeles	1-2	L	12-10-7	Pitchkolan 3 (Mina 3, Rhine 8) 42	Scott Garlick, Clarence Goodson, Steve Jolley, Greg Vanney (sent off 50), David Wagenfuhr (Arturo Alvarez 79), Ramon Nunez, Oscar Pareja (Drew Moor 59), Aaron Pitchkolan, Mark Wilson, Roberto Mina (Abe Thompson 70), Bobby Rhine.
	30	2005-10-05	H	Columbus	2-1	W	13-10-7	Rhine 2 (unassisted) 58; Nunez 4 (unassisted) 92+	Scott Garlick, Bobby Rhine, Steve Jolley, Drew Moor, Chris Gbandi, Ronnie O'Brien (Carey Talley 95+), Simo Valakari, Mark Wilson (Arturo Alvarez 85), Aaron Pitchkolan (Oscar Pareja 80), Ramon Nunez, Abe Thompson,
	31	2005-10-08	H	Colorado	0-0	D	13-10-8		Dario Sala, Clarence Goodson (Drew Moor 53), Steve Jolley, Greg Vanney, Chris Gbandi, Aaron Pitchkolan (Carey Talley 89), Simo Valakari, Mark Wilson (Oscar Pareja 66), Ramon Nunez, Bobby Rhine, Abe Thompson.
	32	2005-10-15	H	Kansas City	2-2	D	13-10-9	Pareja 1 (Mina 4, O'Brien 11) 69; Nunez 5 (Valakari 1, O'Brien 12) 75	Scott Garlick, Steve Jolley, Clarence Goodson, Greg Vanney, Chris Gbandi, Ronnie O'Brien, Simo Valakari, Mark Wilson (Oscar Pareja 68), Ramon Nunez (Aaron Pitchkolan 81), Bobby Rhine, Abe Thompson (Roberto Mina 62),

	1	2006-04-01	H	Chicago	3-2	W	1-0-0	Alvarez 1 (Ruiz 1) 31; Mina 1 (unassisted) 66; Cooper 1 (Rhine 1, O'Brien 1) 70	Dario Sala, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Ramon Nunez (Mark Wilson 64), Ronnie O'Brien, Simo Valakari, Arturo Alvarez (Kenny Cooper 65), Roberto Mina (Aaron Pitchkolan 79), Carlos Ruiz,
	2	2006-04-08	H	Real Salt Lake	2-1	W	2-0-0	Cooper 2 (Ruiz 2) 43; Wilson 1 (unassisted) 57	Dario Sala, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Mark Wilson, Simo Valakari, Arturo Alvarez (Ramon Nunez 73), Kenny Cooper, Carlos Ruiz (Aaron Pitchkolan 75), Roberto Mina (Drew Moor 87).
	3	2006-04-15	A	Colorado	2-2	D	2-0-1	Vanney 1 (unassisted) 5; Mina 2 (unassisted) 25	Dario Sala, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Ronnie O'Brien, Simo Valakari, Mark Wilson, Arturo Alvarez (Ramon Nunez 46), Kenny Cooper (Aaron Pitchkolan 74), Roberto Mina (Abe Thompson 83),
	4	2006-04-23	H	Kansas City	2-1	W	3-0-1	Cooper 3 (unassisted) 4; Pitchkolan 1 (unassisted) 94+	Dario Sala, Bobby Rhine, Drew Moor, Greg Vanney, Chris Gbandi (sent off 68), Kenny Cooper (Aaron Pitchkolan 75), Simo Valakari, Mark Wilson (Ramon Nunez 83), Ronnie O'Brien, Roberto Mina, Carlos Ruiz (Alex Yi 73),
	5	2006-04-29	A	DC United	1-1	D	3-0-2	O'Brien 1 (Wilson 1) 41	Dario Sala, Bobby Rhine, Drew Moor, Alex Yi (Clarence Goodson 77), Greg Vanney, Ronnie O'Brien, Ramon Nunez, Simo Valakari, Mark Wilson, Kenny Cooper (Aaron Pitchkolan 77), Roberto Mina (Carlos Ruiz 84).
