Competition: USL Premier Developmental League   
Season: 2008

Date: 4/26/2008
1930; Des Moines Menace; 0-0; Thunder Bay Chill; Chapples Park
1930; Panama City Pirates; 6-0; Palm Beach Pumas; Lauderhill Sports Complex
1930; Toronto Lynx; 3-1; Cincinnati Kings; Town & Country Sports Complex
1930; Cleveland Internationals; 2-4; Michigan Bucks; Ultimate Soccer Arenas
2000; Long Island Rough Riders; 1-1; Newark Ironbound Express; NJIT Stadium
2000; Carolina Dynamo; 2-0; Nashville Metros; Siegel Park
2030; Colorado Rapids U-23; 3-2; Springfield Demize; Cooper Sports Complex
2030; El Paso Patriots; 1-2; DFW Tornados; Pennington Field
2030; Houston Leones; 0-1; New Orleans Jesters; Tad Gormley Stadium
2200; Fresno Fuego; 4-1; Lancaster Rattlers; Pete Knight High School
2200; Yakima Reds; 2-3; Spokane Spiders; Spokane Falls CC
2205; Vancouver Whitecaps Residency; 0-4; Tacoma Tide; Curtis High School
2230; Orange County Blue Star; 0-2; Bakersfield Brigade; Bakersfield Christian HS
2230; Los Angeles Legends; 0-1; Ventura County Fusion; Buena High School
2235; Abbotsford Mariners; 5-0; Cascade Surge; McCulloch Stadium (WU)

Date: 6/8/2008
1300; Des Moines Menace; 3-1; Thunder Bay Chill; Chapples Park
1500; Cincinnati Kings; 0-2; Kalamazoo Outrage; Mayors Riverfront Park Mayors Riverfront
1700; Ogden Outlaws; 2-1; Spokane Spiders; Spokane Falls CC
1730; Richmond Kickers Future; 1-3; Reading Rage; Exeter High School
1800; Northern Virginia Royals; 0-3; Fredericksburg Gunners; Fredericksburg Academy
1800; Colorado Rapids U-23; 1-2; St. Louis Lions; Tony Glavin Complex
1900; Mississippi Brilla; 0-1; Baton Rouge Capitals; Olympia Stadium
1930; West Michigan Edge; 1-1; Indiana Invaders; Indiana Invaders Soccer Complex
2000; Los Angeles Legends; 2-1; San Jose Frogs; Lick High School
2030; Austin Aztex U23s; 4-0; DFW Tornados; Pennington Field

Date: 6/11/2008
1800; New Orleans Jesters; 1-1; Mississippi Brilla; Robert P. Longabaugh Stadium
1900; Kalamazoo Outrage; 2-1; West Michigan Edge; Kentwood High School
1900; Bradenton Academics; 4-1; Palm Beach Pumas; Lauderhill Sports Complex
1900; Toronto Lynx; 0-0; Chicago Fire Premier; Toyota Park
1930; Cary Clarets; 1-2; Carolina Dynamo; Macpherson Stadium
2230; Orange County Blue Star; 1-6; Los Angeles Legends; A.P.U. - Cougar Stadium

Date: 6/12/2008
1600; Nashville Metros; 1-7; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium

Date: 6/13/2008
1900; Ocean City Barons; 3-0; New Jersey Rangers; Morris Catholic High School
1900; West Virginia Chaos; 0-5; Cleveland Internationals; St. Edwards High School
1930; Fredericksburg Gunners; 0-5; Reading Rage; Exeter High School
1930; Kalamazoo Outrage; 2-1; Fort Wayne Fever; Hefner Stadium
1930; Toronto Lynx; 1-3; Indiana Invaders; Indiana Invaders Soccer Complex
2100; Tacoma Tide; 1-0; Ogden Outlaws; Ogden High School
2115; Baton Rouge Capitals; 1-3; Laredo Heat; Texas A&M Intl Univ Soccer Complex
2130; DFW Tornados; 1-1; El Paso Patriots; Patriot Stadium
2130; Yakima Reds; 1-2; BYU Cougars; South Stadium
2200; Spokane Spiders; 0-2; Vancouver Whitecaps Residency; Simon Fraser University
2230; Southern California Seahorses; 0-2; San Jose Frogs; Lick High School

Date: 6/14/2008
1500; Northern Virginia Royals; 3-3; Richmond Kickers Future; University of Richmond Stadium
1700; San Fernando Valley Quakes; 2-1; San Francisco Seals; University of San Francisco
1800; Austin Aztex U23s; 2-0; Houston Leones; Soccer World Center
1900; Bradenton Academics; 0-2; Central Florida Kraze; Seminole Soccer Complex
1900; Virginia Legacy; 0-2; Hampton Roads Piranhas; Virginia Wesleyan College
1900; Rhode Island Stingrays; 2-3; Cape Cod Crusaders; Whitman-Hanson HS
1930; Cleveland Internationals; 2-1; Fort Wayne Fever; Hefner Stadium
1930; Vermont Voltage; 1-1; New Hampshire Phantoms; Manchester Memorial HS
1930; West Michigan Edge; 1-3; Cincinnati Kings; Town & Country Sports Complex
1930; St. Louis Lions; 0-0; Des Moines Menace; Valley Stadium
1930; Carolina Dynamo; 2-4; Cary Clarets; WakeMed Soccer Park
2000; Fresno Fuego; 3-0; Orange County Blue Star; Concordia University
2000; Atlanta Silverbacks U23's; 2-0; Nashville Metros; Ezell Park Stadium
2030; Thunder Bay Chill; 2-1; Springfield Demize; Cooper Sports Complex
2100; Yakima Reds; 1-2; Ogden Outlaws; Ogden High School
2115; Baton Rouge Capitals; 0-3; Laredo Heat; Texas A&M Intl Univ Soccer Complex
2130; Spokane Spiders; 0-4; Abbotsford Mariners; Bateman Park
2130; DFW Tornados; 0-1; El Paso Patriots; Patriot Stadium
2130; Tacoma Tide; 1-0; BYU Cougars; South Stadium
2230; Ventura County Fusion; 0-2; Bakersfield Brigade; Bakersfield Christian HS

Date: 6/15/2008
