Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
6/20/1997	Carolina Dynamo	Richmond Kickers	3	2	2,947	League Game	LGE			As Scored	0	0	
6/20/1997	Connecticut Wolves	Toronto Lynx	1	2	1,209	League Game	LGE			As Scored	0	0	
6/20/1997	El Paso Patriots	Nashville Metros	1	1	4,820	League Game	LGE	Nashville wins SO 1-0		As Scored	0	0	
6/20/1997	Seattle Sounders	Orlando Sundogs	2	1	2,093	League Game	LGE			As Scored	0	0	
6/20/1997	Worcester Wildfire	Charleston Battery	0	1	1,628	League Game	LGE			As Scored	0	0	
6/21/1997	Long Island Rough Riders	Toronto Lynx	1	0	6,860	League Game	LGE			As Scored	0	0	
6/21/1997	New Orleans Riverboat Gamblers	Atlanta Ruckus	3	0	1,589	League Game	LGE			As Scored	0	0	
6/21/1997	Raleigh Flyers	Rochester Rhinos	2	1	1,922	League Game	LGE			As Scored	0	0	
6/22/1997	Colorado Foxes	Nashville Metros	2	1	100	League Game	LGE			As Scored	0	0	
6/22/1997	Connecticut Wolves	Charleston Battery	0	0	100	League Game	LGE	Connecticut wins SO 2-1		As Scored	0	0	
6/22/1997	Hershey Wildcats	Worcester Wildfire	4	0	3,061	League Game	LGE			As Scored	0	0	
6/22/1997	Orange County Zodiac	Milwaukee Rampage	1	2	1,021	League Game	LGE			As Scored	0	0	
6/22/1997	Richmond Kickers	Rochester Rhinos	2	3	3,021	League Game	LGE			As Scored	0	0	
6/22/1997	Vancouver 86ers	Orlando Sundogs	4	1	3,373	League Game	LGE			As Scored	0	0	
6/25/1997	Colorado Foxes	Atlanta Ruckus	2	1	1,300	League Game	LGE			As Scored	0	0	
6/25/1997	Montreal Impact	Worcester Wildfire	6	0	2,834	League Game	LGE			As Scored	0	0	
6/25/1997	Rochester Rhinos	Carolina Dynamo	3	2	8,525	League Game	LGE			As Scored	0	0	
6/25/1997	Vancouver 86ers	Seattle Sounders	0	1	3,563	League Game	LGE			As Scored	0	0	
6/26/1997	Orlando Sundogs	Jacksonville Cyclones	3	0	939	League Game	LGE			As Scored	0	0	
6/27/1997	Charleston Battery	Connecticut Wolves	2	0	1,050	League Game	LGE			As Scored	0	0	
6/27/1997	El Paso Patriots	Atlanta Ruckus	3	2	2,980	League Game	LGE			As Scored	0	0	
6/27/1997	Minnesota Thunder	Vancouver 86ers	1	1	3,108	League Game	LGE	Minnesota wins SO 2-1		As Scored	0	0	
6/27/1997	New Orleans Riverboat Gamblers	Colorado Foxes	2	2	831	League Game	LGE	New Orleans wins SO 3-2		As Scored	0	0	
6/27/1997	Orange County Zodiac	Nashville Metros	1	4	850	League Game	LGE			As Scored	0	0	
6/27/1997	Seattle Sounders	California Jaguars	2	0	3,124	League Game	LGE			As Scored	0	0	
6/28/1997	Jacksonville Cyclones	Connecticut Wolves	2	0	1,893	League Game	LGE			As Scored	0	0	
6/28/1997	Raleigh Flyers	Long Island Rough Riders	3	1	2,094	League Game	LGE			As Scored	0	0	
6/28/1997	Worcester Wildfire	Montreal Impact	0	0	1,174	League Game	LGE	Montreal wins SO 4-3		As Scored	0	0	
6/29/1997	California Jaguars	Nashville Metros	3	1	100	League Game	LGE			As Scored	0	0	
6/29/1997	Carolina Dynamo	Long Island Rough Riders	4	1	3,825	League Game	LGE			As Scored	0	0	
6/29/1997	Milwaukee Rampage	Vancouver 86ers	2	1	3,652	League Game	LGE			As Scored	0	0	
6/29/1997	Orlando Sundogs	Colorado Foxes	2	1	1,544	League Game	LGE			As Scored	0	0	
7/2/1997	Charleston Battery	Long Island Rough Riders	2	1	1,596	League Game	LGE			As Scored	0	0	
