Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
2/26/1998	Atlas - Mexico	Chicago Fire	2	2	50	Friendly	FDLY			As Scored	0	0	
2/28/1998	Coban - Guatemala	Los Angeles Galaxy	1	0	0	Friendly	FDLY			As Scored	0	0	
3/1/1998	DC United	Ikast - Denmark	4	1	50	Friendly	FDLY			As Scored	0	0	
3/2/1998	Suchitepequez - Guatemala	Los Angeles Galaxy	1	3	0	Friendly	FDLY			As Scored	0	0	
3/3/1998	UAG - Mexico	San Jose Earthquakes	0	3	100	Friendly	FDLY			As Scored	0	0	
3/4/1998	Tapatio - Mexico	San Jose Earthquakes	2	2	50	Friendly	FDLY			As Scored	0	0	
3/4/1998	Comunicaciones - Guatemala	Los Angeles Galaxy	3	4	25	Friendly	FDLY			As Scored	0	0	
3/5/1998	AC Milan - Italy	MetroStars	3	1	50	Friendly	FDLY			As Scored	0	0	
3/5/1998	Bachilleres - Mexico	Chicago Fire	1	4	50	Friendly	FDLY			As Scored	0	0	
3/8/1998	Atlas - Mexico	San Jose Earthquakes	0	2	25	Friendly	FDLY			As Scored	0	0	
3/11/1998	UAG - Mexico	San Jose Earthquakes	0	0	50	Friendly	FDLY			As Scored	0	0	
3/12/1998	Tapatio - Mexico	New England Revolution	0	3	100	Friendly	FDLY			As Scored	0	0	
3/16/1998	Atlas - Mexico	New England Revolution	0	3	100	Friendly	FDLY			As Scored	0	0	
3/17/1998	Tecos - Mexico	New England Revolution	1	2	100	Friendly	FDLY			As Scored	0	0	
3/20/1998	Atlas - Mexico	New England Revolution	1	1	100	Friendly	FDLY			As Scored	0	0	
3/24/1998	Univ. de Guadalajara - Mexico	New England Revolution	1	3	100	Friendly	FDLY			As Scored	0	0	
5/5/1998	San Jose Earthquakes	CD Guadalajara Chivas - Mexico	1	1	10,093	Friendly	FDLY			As Scored	0	0	
5/20/1998	Miami Fusion	Honduras	4	2	50	Friendly	FDLY			As Scored	0	0	
