Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
7/13/2003	Nacional -- Uruguay	Los Angeles Galaxy	0	0	23,000	Peace Cup Korea	PCK			As Scored	0	0	
7/18/2003	1860 Munchen -- Germany	Los Angeles Galaxy	0	0	23,000	Peace Cup Korea	PCK			As Scored	0	0	
7/20/2003	PSV Eindhoven -- Netherlands	Los Angeles Galaxy	4	1	23,000	Peace Cup Korea	PCK			As Scored	0	0	
2/25/2004	Viking Stavangar -- Norway	MetroStars	1	0	0	La Manga Cup	LMC			As Scored	0	0	
2/25/2004	Gif Sundsvall -- Sweden	San Jose Earthquakes	1	3	100	La Manga Cup	LMC			As Scored	0	0	
2/26/2004	Odd Grenland -- Norway	Dallas Burn/FC Dallas 96	2	1	0	La Manga Cup	LMC			As Scored	0	0	
2/28/2004	Stabaek -- Norway	San Jose Earthquakes	1	2	100	La Manga Cup	LMC			As Scored	0	0	
2/28/2004	Bodo/Glimt -- Norway	MetroStars	1	3	0	La Manga Cup	LMC			As Scored	0	0	
2/28/2004	Dynamo Kiev -- Ukraine	Dallas Burn/FC Dallas 96	2	2	0	La Manga Cup	LMC			As Scored	0	0	
3/1/2004	Stabaek -- Norway	Dallas Burn/FC Dallas 96	1	2	0	La Manga Cup	LMC			As Scored	0	0	
3/4/2004	Bodo/Glimt -- Norway	Dallas Burn/FC Dallas 96	3	1	0	La Manga Cup	LMC			As Scored	0	0	
3/5/2004	Viking Stavangar -- Norway	MetroStars	0	1	0	La Manga Cup	LMC			As Scored	0	0	
3/5/2004	Dynamo Kiev -- Ukraine	San Jose Earthquakes	1	1	0	La Manga Cup	LMC			As Scored	0	0	
3/17/2004	San Jose Earthquakes	Alajuela -- Costa Rica	0	3	100	CONCACAF Champions Cup	CCC		Pineda, Jose	As Scored	0	0	
3/17/2004	San Juan Jabloteh -- T & T	Chicago Fire	5	2	5,083	CONCACAF Champions Cup	CCC		Prendergast, Peter	As Scored	0	0	
3/24/2004	Chicago Fire	San Juan Jabloteh -- T & T	4	0	6,143	CONCACAF Champions Cup	CCC		Mejia, Olger	As Scored	0	0	
3/24/2004	San Jose Earthquakes	Alajuela -- Costa Rica	1	0	5,130	CONCACAF Champions Cup	CCC		Alcala, Gilberto	As Scored	0	0	
4/15/2004	CD Saprissa-- Costa Rica	Chicago Fire	2	0	4,126	CONCACAF Champions Cup	CCC		Batres, Carlos	As Scored	0	0	
4/21/2004	Chicago Fire	CD Saprissa-- Costa Rica	2	1	7,126	CONCACAF Champions Cup	CCC		Alcala, Gilberto	As Scored	0	0	
3/9/2005	DC United	Harbour View FC -- Jamaica	2	1	3,825	CONCACAF Champions Cup	CCC		Quesada, Walter	As Scored	0	0	
3/9/2005	Kansas City Wizards	Deportivo Saprissa -Costa Rica	0	0	1,207	CONCACAF Champions Cup	CCC		Alcala, Gilberto	As Scored	0	0	
3/16/2005	Harbour View FC -- Jamaica	DC United	1	2	100	CONCACAF Champions Cup	CCC		Brizan, Neal	As Scored	0	0	
3/17/2005	Deportivo Saprissa -Costa Rica	Kansas City Wizards	2	1	100	CONCACAF Champions Cup	CCC		Moreno, Roberto	As Scored	0	0	
4/6/2005	DC United	UNAM -- Mexico	1	1	21,185	CONCACAF Champions Cup	CCC		Navarro, Mauricio	As Scored	0	0	
4/13/2005	UNAM -- Mexico	DC United	5	0	21,000	CONCACAF Champions Cup	CCC		Pineda, Jose	As Scored	0	0	
2/22/2006	New England Revolution	LD Alajuelense-- Costa Rica	0	0	1,500	CONCACAF Champions Cup	CCC		Liu, Hu	As Scored	0	0	
2/23/2006	Los Angeles Galaxy	Deportivo Saprissa -Costa Rica	0	0	8,103	CONCACAF Champions Cup	CCC		Rodriguez, Marco	As Scored	0	0	
3/8/2006	LD Alajuelense-- Costa Rica	New England Revolution	1	0	100	CONCACAF Champions Cup	CCC		Prendergast, Peter	As Scored	0	0	
3/8/2006	CD Saprissa-- Costa Rica	Los Angeles Galaxy	3	2	10,000	CONCACAF Champions Cup	CCC		Archundia, Benito	As Scored	0	0	
12/9/2006	Puerto Rico Islanders - USL	Hoppers FC - Antigua	3	1	3,800	Caribbean Qualification	CQ		Morales, Mauricio	As Scored	0	0	
12/13/2006	Puerto Rico Islanders - USL	W. Connection -- Jamaica	0	1	4,000	Caribbean Qualification	CQ		Arredondo, German	As Scored	0	0	
2/21/2007	CD Olympia-- Honduras	DC United	1	4	100	CONCACAF Champions Cup	CCC		Gasso, Jorge	As Scored	0	0	
2/21/2007	Puntarenas FC - Costa Rica	Houston Dynamo	1	0	100	CONCACAF Champions Cup	CCC		Arredondo, German	As Scored	0	0	
3/1/2007	DC United	CD Olympia-- Honduras	3	2	8,181	CONCACAF Champions Cup	CCC		Navarro, Mauricio	As Scored	0	0	
