,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
680,209,"marcos-mondaini",-0.05,-0.03,-0.01,-0.01,0,0
272,247,"dasan-robinson",-0.04,-0.02,-0.01,-0.01,0,0
397,382,"pablo-campos",-0.01,-0.02,-0.01,-0.01,0,0
237,446,"daniel-paladini",-0.06,-0.03,-0.02,-0.01,0,0
47,456,"clyde-simms",0.02,0.01,0,-0.01,-0.01,-0.01
648,675,"sebastian-miranda",0.02,0,-0.01,-0.01,-0.01,0
28,505,"kerry-zavagnin",-0.04,-0.02,-0.01,-0.01,0,0
421,912,"bojan-stepanovic",-0.08,-0.04,-0.02,-0.01,0,0
510,837,"andrew-dykstra",-0.03,-0.02,-0.01,-0.01,0,0
174,443,"ronnie-obrien",-0.05,-0.02,-0.01,-0.01,-0.01,0
720,83,"darlinton-nagbe",-0.02,-0.01,-0.01,-0.01,-0.01,0
772,719,"torsten-frings",-0.01,-0.01,-0.01,-0.01,-0.01,0
551,839,"raivis-hscanovics",-0.06,-0.03,-0.02,-0.01,-0.01,0
347,265,"macoumba-kandji",-0.01,-0.01,-0.01,-0.01,-0.01,0
517,326,"ike-opara",-0.07,-0.04,-0.02,-0.01,0,0
150,780,"greg-sutton",0.01,-0.01,-0.01,-0.01,-0.01,0
724,206,"blake-brettschneider",-0.04,-0.03,-0.02,-0.01,-0.01,0
36,363,"claudio-lopez",0.06,0.01,0,-0.01,-0.01,-0.01
198,388,"christian-gomez",-0.13,-0.06,-0.02,-0.01,0,0
663,667,"nizar-khalfan",-0.04,-0.02,-0.01,-0.01,-0.01,0
2,885,"mauricio-castro",-0.06,-0.03,-0.02,-0.01,-0.01,0
298,930,"juan-pietravallo",-0.05,-0.03,-0.02,-0.01,-0.01,0
771,71,"danny-koevermans",-0.02,-0.02,-0.01,-0.01,-0.01,0
700,783,"didier-domi",-0.04,-0.02,-0.02,-0.01,-0.01,0
417,399,"alberto-celades",0.02,0,-0.01,-0.01,-0.01,0
576,214,"jean-michel-alexandre",-0.08,-0.05,-0.02,-0.01,0,0
575,827,"jordan-graye",0.08,0.02,0,-0.01,-0.01,-0.01
14,814,"pat-onstad",-0.12,-0.07,-0.03,-0.01,0,0
1,541,"chris-albright",-0.1,-0.06,-0.03,-0.01,0,0
